,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Starboy,The Weeknd ft. Daft Punk,14,2017-01-01,2017-01-01
1,2,Black Beatles,Rae Sremmurd ft. Gucci Mane,15,2017-01-01,2017-01-01
2,3,Closer,The Chainsmokers ft. Halsey,21,2017-01-01,2017-01-01
3,4,24K Magic,Bruno Mars,11,2017-01-01,2017-01-01
4,5,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,13,2017-01-01,2017-01-01
5,6,Side To Side,Ariana Grande ft. Nicki Minaj,17,2017-01-01,2017-01-01
6,7,Let Me Love You,DJ Snake ft. Justin Bieber,20,2017-01-01,2017-01-01
7,8,Don't Wanna Know,Maroon 5 ft. Kendrick Lamar,11,2017-01-01,2017-01-01
8,9,Bad Things,Machine Gun Kelly x Camila Cabello,8,2017-01-01,2017-01-01
9,10,Fake Love,Drake,9,2017-01-01,2017-01-01
10,11,Caroline,Amine,16,2017-01-01,2017-01-01
11,12,Heathens,twenty one pilots,27,2017-01-01,2017-01-01
12,13,Bad And Boujee,Migos ft. Lil Uzi Vert,6,2017-01-01,2017-01-01
13,14,Scars To Your Beautiful,Alessia Cara,17,2017-01-01,2017-01-01
14,15,Broccoli,D.R.A.M. ft. Lil Yachty,28,2017-01-01,2017-01-01
15,16,All I Want For Christmas Is You,Mariah Carey,18,2017-01-01,2017-01-01
16,17,Starving,Hailee Steinfeld & Grey ft. Zedd,21,2017-01-01,2017-01-01
17,18,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2,2017-01-01,2017-01-01
18,19,OOOUUU,Young M.A,17,2017-01-01,2017-01-01
19,20,Love On The Brain,Rihanna,10,2017-01-01,2017-01-01
20,21,Bounce Back,Big Sean,7,2017-01-01,2017-01-01
21,22,The Greatest,Sia ft. Kendrick Lamar,16,2017-01-01,2017-01-01
22,23,Hallelujah,Pentatonix,9,2017-01-01,2017-01-01
23,24,All Time Low,Jon Bellion,11,2017-01-01,2017-01-01
24,25,I Feel It Coming,The Weeknd ft. Daft Punk,5,2017-01-01,2017-01-01
25,26,Treat You Better,Shawn Mendes,29,2017-01-01,2017-01-01
26,27,Rockin' Around The Christmas Tree,Brenda Lee,18,2017-01-01,2017-01-01
27,28,Mercy,Shawn Mendes,14,2017-01-01,2017-01-01
28,29,Jingle Bell Rock,Bobby Helms,19,2017-01-01,2017-01-01
29,30,In The Name Of Love,Martin Garrix & Bebe Rexha,19,2017-01-01,2017-01-01
30,31,I Hate U I Love U,gnash ft. Olivia O'Brien,36,2017-01-01,2017-01-01
31,32,Can't Stop The Feeling!,Justin Timberlake,33,2017-01-01,2017-01-01
32,33,Blue Ain't Your Color,Keith Urban,15,2017-01-01,2017-01-01
33,34,Don't Let Me Down,The Chainsmokers ft. Daya,45,2017-01-01,2017-01-01
34,35,Deja Vu,J. Cole,2,2017-01-01,2017-01-01
35,36,Cheap Thrills,Sia ft. Sean Paul,45,2017-01-01,2017-01-01
36,37,This Town,Niall Horan,13,2017-01-01,2017-01-01
37,38,Cold Water,Major Lazer ft. Justin Bieber & MO,22,2017-01-01,2017-01-01
38,39,Chill Bill,Rob $tone ft. J. Davi$ & Spooks,21,2017-01-01,2017-01-01
39,40,Love Me Now,John Legend,9,2017-01-01,2017-01-01
40,41,Both,Gucci Mane ft. Drake,1,2017-01-01,2017-01-01
41,42,Unsteady,X Ambassadors,32,2017-01-01,2017-01-01
42,43,X,21 Savage & Metro Boomin ft. Future,15,2017-01-01,2017-01-01
43,44,Feliz Navidad,Jose Feliciano,1,2017-01-01,2017-01-01
44,45,"Mary, Did You Know?",Pentatonix,7,2017-01-01,2017-01-01
45,46,A Holly Jolly Christmas,Burl Ives,1,2017-01-01,2017-01-01
46,47,The Christmas Song (Merry Christmas To You),Nat King Cole,8,2017-01-01,2017-01-01
47,48,It's The Most Wonderful Time Of The Year,Andy Williams,1,2017-01-01,2017-01-01
48,49,Party Monster,The Weeknd,5,2017-01-01,2017-01-01
49,50,Last Christmas,Wham!,1,2017-01-01,2017-01-01
50,51,Water Under The Bridge,Adele,7,2017-01-01,2017-01-01
51,52,You Was Right,Lil Uzi Vert,24,2017-01-01,2017-01-01
52,53,No Heart,21 Savage & Metro Boomin,9,2017-01-01,2017-01-01
53,54,Neighbors,J. Cole,2,2017-01-01,2017-01-01
54,55,Used To This,Future ft. Drake,7,2017-01-01,2017-01-01
55,56,How Far I'll Go,Auli'i Cravalho,4,2017-01-01,2017-01-01
56,57,Do You Mind,"DJ Khaled ft. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",20,2017-01-01,2017-01-01
57,58,Party,Chris Brown ft. Usher & Gucci Mane,1,2017-01-01,2017-01-01
58,59,Immortal,J. Cole,2,2017-01-01,2017-01-01
59,60,May We All,Florida Georgia Line ft. Tim McGraw,17,2017-01-01,2017-01-01
60,61,Say You Won't Let Go,James Arthur,9,2017-01-01,2017-01-01
61,62,Wanna Be That Song,Brett Eldredge,12,2017-01-01,2017-01-01
62,63,Too Much Sauce,DJ ESCO ft. Future & Lil Uzi Vert,18,2017-01-01,2017-01-01
63,64,Better Man,Little Big Town,8,2017-01-01,2017-01-01
64,65,Chantaje,Shakira ft. Maluma,6,2017-01-01,2017-01-01
65,66,Dirty Laundry,Carrie Underwood,10,2017-01-01,2017-01-01
66,67,1 Night,Lil Yachty,20,2017-01-01,2017-01-01
67,68,Redbone,Childish Gambino,4,2017-01-01,2017-01-01
68,69,Sneakin',Drake ft. 21 Savage,9,2017-01-01,2017-01-01
69,70,Million Reasons,Lady Gaga,7,2017-01-01,2017-01-01
70,71,A Guy With A Girl,Blake Shelton,6,2017-01-01,2017-01-01
71,72,Just Hold On,Steve Aoki & Louis Tomlinson,2,2017-01-01,2017-01-01
72,73,Song For Another Time,Old Dominion,13,2017-01-01,2017-01-01
73,74,Pick Up The Phone,Young Thug And Travis Scott ft. Quavo,19,2017-01-01,2017-01-01
74,75,Make Me (Cry),Noah Cyrus ft. Labrinth,2,2017-01-01,2017-01-01
75,76,Star Of The Show,Thomas Rhett,8,2017-01-01,2017-01-01
76,77,HandClap,Fitz And The Tantrums,13,2017-01-01,2017-01-01
77,78,How I'll Always Be,Tim McGraw,10,2017-01-01,2017-01-01
78,79,Rockabye,Clean Bandit ft. Sean Paul & Anne-Marie,3,2017-01-01,2017-01-01
79,80,Alone,Marshmello,4,2017-01-01,2017-01-01
80,81,How Far I'll Go,Alessia Cara,3,2017-01-01,2017-01-01
81,82,All We Know,The Chainsmokers ft. Phoebe Ryan,12,2017-01-01,2017-01-01
82,83,Change,J. Cole,2,2017-01-01,2017-01-01
83,84,Dirt On My Boots,Jon Pardi,3,2017-01-01,2017-01-01
84,85,Selfish,PnB Rock,7,2017-01-01,2017-01-01
85,86,You're Welcome,Dwayne Johnson,4,2017-01-01,2017-01-01
86,87,Fresh Eyes,Andy Grammer,12,2017-01-01,2017-01-01
87,88,Sleep Without You,Brett Young,15,2017-01-01,2017-01-01
88,89,She's Mine Pt. 1,J. Cole,2,2017-01-01,2017-01-01
89,90,Ville Mentality,J. Cole,2,2017-01-01,2017-01-01
90,91,OTW,DJ Luke Nasty,1,2017-01-01,2017-01-01
91,92,Red Opps,21 Savage,1,2017-01-01,2017-01-01
92,93,For Whom The Bell Tolls,J. Cole,2,2017-01-01,2017-01-01
93,94,Six Feet Under,The Weeknd,4,2017-01-01,2017-01-01
94,95,Reminder,The Weeknd,4,2017-01-01,2017-01-01
95,96,Play That Song,Train,4,2017-01-01,2017-01-01
96,97,Sidewalks,The Weeknd ft. Kendrick Lamar,4,2017-01-01,2017-01-01
97,98,Foldin Clothes,J. Cole,2,2017-01-01,2017-01-01
98,99,Swang,Rae Sremmurd,1,2017-01-01,2017-01-01
99,100,Versace On The Floor,Bruno Mars,2,2017-01-01,2017-01-01
100,1,Black Beatles,Rae Sremmurd ft. Gucci Mane,16,2017-01-08,2017-01-08
101,2,Bad And Boujee,Migos ft. Lil Uzi Vert,7,2017-01-08,2017-01-08
102,3,Starboy,The Weeknd ft. Daft Punk,15,2017-01-08,2017-01-08
103,4,Closer,The Chainsmokers ft. Halsey,22,2017-01-08,2017-01-08
104,5,24K Magic,Bruno Mars,12,2017-01-08,2017-01-08
105,6,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,14,2017-01-08,2017-01-08
106,7,Side To Side,Ariana Grande ft. Nicki Minaj,18,2017-01-08,2017-01-08
107,8,Let Me Love You,DJ Snake ft. Justin Bieber,21,2017-01-08,2017-01-08
108,9,Fake Love,Drake,10,2017-01-08,2017-01-08
109,10,Broccoli,D.R.A.M. ft. Lil Yachty,29,2017-01-08,2017-01-08
110,11,Don't Wanna Know,Maroon 5 ft. Kendrick Lamar,12,2017-01-08,2017-01-08
111,12,Bad Things,Machine Gun Kelly x Camila Cabello,9,2017-01-08,2017-01-08
112,13,Heathens,twenty one pilots,28,2017-01-08,2017-01-08
113,14,Caroline,Amine,17,2017-01-08,2017-01-08
114,15,Scars To Your Beautiful,Alessia Cara,18,2017-01-08,2017-01-08
115,16,All Time Low,Jon Bellion,12,2017-01-08,2017-01-08
116,17,Mercy,Shawn Mendes,15,2017-01-08,2017-01-08
117,18,Starving,Hailee Steinfeld & Grey ft. Zedd,22,2017-01-08,2017-01-08
118,19,OOOUUU,Young M.A,18,2017-01-08,2017-01-08
119,20,This Town,Niall Horan,14,2017-01-08,2017-01-08
120,21,Bounce Back,Big Sean,8,2017-01-08,2017-01-08
121,22,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,3,2017-01-08,2017-01-08
122,23,Love On The Brain,Rihanna,11,2017-01-08,2017-01-08
123,24,Treat You Better,Shawn Mendes,30,2017-01-08,2017-01-08
124,25,Can't Stop The Feeling!,Justin Timberlake,34,2017-01-08,2017-01-08
125,26,In The Name Of Love,Martin Garrix & Bebe Rexha,20,2017-01-08,2017-01-08
126,27,The Greatest,Sia ft. Kendrick Lamar,17,2017-01-08,2017-01-08
127,28,Blue Ain't Your Color,Keith Urban,16,2017-01-08,2017-01-08
128,29,Chill Bill,Rob $tone ft. J. Davi$ & Spooks,22,2017-01-08,2017-01-08
129,30,Cheap Thrills,Sia ft. Sean Paul,46,2017-01-08,2017-01-08
130,31,I Hate U I Love U,gnash ft. Olivia O'Brien,37,2017-01-08,2017-01-08
131,32,Hallelujah,Pentatonix,10,2017-01-08,2017-01-08
132,33,Careless Whisper,Wham! ft. George Michael,22,2017-01-08,2017-01-08
133,34,I Feel It Coming,The Weeknd ft. Daft Punk,6,2017-01-08,2017-01-08
134,35,All I Want For Christmas Is You,Mariah Carey,19,2017-01-08,2017-01-08
135,36,X,21 Savage & Metro Boomin ft. Future,16,2017-01-08,2017-01-08
136,37,Don't Let Me Down,The Chainsmokers ft. Daya,46,2017-01-08,2017-01-08
137,38,Cold Water,Major Lazer ft. Justin Bieber & MO,23,2017-01-08,2017-01-08
138,39,Love Me Now,John Legend,10,2017-01-08,2017-01-08
139,40,Unsteady,X Ambassadors,33,2017-01-08,2017-01-08
