,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Single Ladies (Put A Ring On It),Beyonce,10,2009-01-01,2009-01-01
1,2,Live Your Life,T.I. ft. Rihanna,13,2009-01-01,2009-01-01
2,3,Just Dance,Lady Gaga ft. Colby O'Donis,20,2009-01-01,2009-01-01
3,4,Heartless,Kanye West,7,2009-01-01,2009-01-01
4,5,Womanizer,Britney Spears,12,2009-01-01,2009-01-01
5,6,Hot N Cold,Katy Perry,21,2009-01-01,2009-01-01
6,7,Love Story,Taylor Swift,15,2009-01-01,2009-01-01
7,8,Love Lockdown,Kanye West,14,2009-01-01,2009-01-01
8,9,Whatever You Like,T.I.,20,2009-01-01,2009-01-01
9,10,If I Were A Boy,Beyonce,11,2009-01-01,2009-01-01
10,11,Circus,Britney Spears,3,2009-01-01,2009-01-01
11,12,I'm Yours,Jason Mraz,36,2009-01-01,2009-01-01
12,13,Let It Rock,Kevin Rudolf ft. Lil Wayne,17,2009-01-01,2009-01-01
13,14,Miss Independent,Ne-Yo,18,2009-01-01,2009-01-01
14,15,Right Now (Na Na Na),Akon,13,2009-01-01,2009-01-01
15,16,So What,P!nk,18,2009-01-01,2009-01-01
16,17,Gotta Be Somebody,Nickelback,12,2009-01-01,2009-01-01
17,18,Rehab,Rihanna,7,2009-01-01,2009-01-01
18,19,Gives You Hell,The All-American Rejects,6,2009-01-01,2009-01-01
19,20,Chicken Fried,Zac Brown Band,14,2009-01-01,2009-01-01
20,21,Mrs. Officer,Lil Wayne ft. Bobby Valentino & Kidd Kidd,18,2009-01-01,2009-01-01
21,22,Pop Champagne,Jim Jones & Ron Browz ft. Juelz Santana,10,2009-01-01,2009-01-01
22,23,Disturbia,Rihanna,27,2009-01-01,2009-01-01
23,24,Green Light,John Legend ft. Andre 3000,16,2009-01-01,2009-01-01
24,25,One More Drink,Ludacris Co-Starring T-Pain,8,2009-01-01,2009-01-01
25,26,Addicted,Saving Abel,28,2009-01-01,2009-01-01
26,27,Can't Believe It,T-Pain ft. Lil Wayne,21,2009-01-01,2009-01-01
27,28,Chopped 'N' Skrewed,T-Pain ft. Ludacris,10,2009-01-01,2009-01-01
28,29,You Found Me,The Fray,5,2009-01-01,2009-01-01
29,30,Better In Time,Leona Lewis,24,2009-01-01,2009-01-01
30,31,Put It On Ya,Plies ft. Chris J,5,2009-01-01,2009-01-01
31,32,I Hate This Part,The Pussycat Dolls,4,2009-01-01,2009-01-01
32,33,I'm So Paid,Akon ft. Lil Wayne & Young Jeezy,10,2009-01-01,2009-01-01
33,34,Sober,P!nk,4,2009-01-01,2009-01-01
34,35,Untouched,The Veronicas,4,2009-01-01,2009-01-01
35,36,Viva La Vida,Coldplay,33,2009-01-01,2009-01-01
36,37,Shattered (Turn The Car Around),O.A.R.,20,2009-01-01,2009-01-01
37,38,Roll With Me,Montgomery Gentry,15,2009-01-01,2009-01-01
38,39,I Don't Care,Fall Out Boy,15,2009-01-01,2009-01-01
39,40,Light On,David Cook,11,2009-01-01,2009-01-01
40,41,Human,The Killers,12,2009-01-01,2009-01-01
41,42,Closer,Ne-Yo,36,2009-01-01,2009-01-01
42,43,Love Remains The Same,Gavin Rossdale,29,2009-01-01,2009-01-01
43,44,Decode,Paramore,7,2009-01-01,2009-01-01
44,45,Crush,David Archuleta,19,2009-01-01,2009-01-01
45,46,Fall For You,Secondhand Serenade,28,2009-01-01,2009-01-01
