,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Hey Ya!,OutKast,12,2004-01-01,2004-01-01
1,2,The Way You Move,OutKast ft. Sleepy Brown,15,2004-01-01,2004-01-01
2,3,Milkshake,Kelis,14,2004-01-01,2004-01-01
3,4,You Don't Know My Name,Alicia Keys,8,2004-01-01,2004-01-01
4,5,Stand Up,Ludacris ft. Shawnna,18,2004-01-01,2004-01-01
5,6,Walked Outta Heaven,Jagged Edge,18,2004-01-01,2004-01-01
6,7,Suga Suga,Baby Bash ft. Frankie J,20,2004-01-01,2004-01-01
7,8,Here Without You,3 Doors Down,19,2004-01-01,2004-01-01
8,9,Slow Jamz,Twista ft. Kanye West & Jamie Foxx,5,2004-01-01,2004-01-01
9,10,"Me, Myself And I",Beyonce,8,2004-01-01,2004-01-01
10,11,It's My Life,No Doubt,10,2004-01-01,2004-01-01
11,12,Someday,Nickelback,20,2004-01-01,2004-01-01
12,13,Baby Boy,Beyonce ft. Sean Paul,21,2004-01-01,2004-01-01
13,14,Holidae In,Chingy ft. Ludacris & Snoop Dogg,16,2004-01-01,2004-01-01
14,15,Damn!,YoungBloodZ ft. Lil Jon,22,2004-01-01,2004-01-01
15,16,Step In The Name Of Love,R. Kelly,20,2004-01-01,2004-01-01
16,17,Change Clothes,JAY-Z,8,2004-01-01,2004-01-01
17,18,Get Low,Lil Jon & The East Side Boyz ft. Ying Yang Twins,36,2004-01-01,2004-01-01
18,19,Read Your Mind,Avant,14,2004-01-01,2004-01-01
19,20,Runnin (Dying To Live),Tupac ft. The Notorious B.I.G.,12,2004-01-01,2004-01-01
20,21,Why Don't You & I,Santana ft. Alex Band Or Chad Kroeger,24,2004-01-01,2004-01-01
21,22,Headstrong,Trapt,37,2004-01-01,2004-01-01
22,23,White Flag,Dido,16,2004-01-01,2004-01-01
23,24,Numb,Linkin Park,9,2004-01-01,2004-01-01
24,25,Stunt 101,G Unit,10,2004-01-01,2004-01-01
25,26,Wat Da Hook Gon Be,Murphy Lee ft. Jermaine Dupri,13,2004-01-01,2004-01-01
26,27,Gigolo,Nick Cannon ft. R. Kelly,8,2004-01-01,2004-01-01
27,28,So Far Away,Staind,23,2004-01-01,2004-01-01
28,29,Perfect,Simple Plan,10,2004-01-01,2004-01-01
29,30,The First Cut Is The Deepest,Sheryl Crow,11,2004-01-01,2004-01-01
30,31,There Goes My Life,Kenny Chesney,9,2004-01-01,2004-01-01
31,32,Salt Shaker,Ying Yang Twins ft. Lil Jon & The East Side Boyz,8,2004-01-01,2004-01-01
32,33,Through The Wire,Kanye West,6,2004-01-01,2004-01-01
33,34,Remember When,Alan Jackson,4,2004-01-01,2004-01-01
34,35,Bright Lights,matchbox twenty,15,2004-01-01,2004-01-01
35,36,The Voice Within,Christina Aguilera,6,2004-01-01,2004-01-01
36,37,Why Can't I?,Liz Phair,16,2004-01-01,2004-01-01
37,38,Gangsta Nation,Westside Connection ft. Nate Dogg,5,2004-01-01,2004-01-01
38,39,You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn,9,2004-01-01,2004-01-01
39,40,F**k It (I Don't Want You Back),Eamon,5,2004-01-01,2004-01-01
40,41,Shake Ya Tailft.her,"Nelly, P. Diddy & Murphy Lee",28,2004-01-01,2004-01-01
41,42,I Love This Bar,Toby Keith,18,2004-01-01,2004-01-01
42,43,Invisible,Clay Aiken,7,2004-01-01,2004-01-01
43,44,(There's Gotta Be) More To Life,Stacie Orrico,16,2004-01-01,2004-01-01
44,45,With You,Jessica Simpson,2,2004-01-01,2004-01-01
45,46,My Baby,Bow Wow ft. Jagged Edge,5,2004-01-01,2004-01-01
46,47,Not Today,Mary J. Blige ft. Eve,4,2004-01-01,2004-01-01
47,48,Harder To Breathe,Maroon 5,20,2004-01-01,2004-01-01
48,49,Unwell,matchbox twenty,42,2004-01-01,2004-01-01
49,50,Breathe,Michelle Branch,9,2004-01-01,2004-01-01
50,51,Fallen,Sarah McLachlan,11,2004-01-01,2004-01-01
51,52,Hotel,Cassidy ft. R. Kelly,3,2004-01-01,2004-01-01
52,53,Forthenight,Musiq,9,2004-01-01,2004-01-01
53,54,American Soldier,Toby Keith,2,2004-01-01,2004-01-01
54,55,(I Hate) Everything About You,Three Days Grace,6,2004-01-01,2004-01-01
55,56,More & More,Joe,7,2004-01-01,2004-01-01
56,57,Watch The Wind Blow By,Tim McGraw,4,2004-01-01,2004-01-01
57,58,Sorry 2004,Ruben Studdard,1,2004-01-01,2004-01-01
58,59,Honesty (Write Me A List),Rodney Atkins,14,2004-01-01,2004-01-01
59,60,I Wanna Do It All,Terri Clark,4,2004-01-01,2004-01-01
60,61,Fallen,Mya,6,2004-01-01,2004-01-01
61,62,She's Not Just A Pretty Face,Shania Twain,5,2004-01-01,2004-01-01
62,63,Cowboys Like Us,George Strait,14,2004-01-01,2004-01-01
63,64,Little Moments,Brad Paisley,3,2004-01-01,2004-01-01
64,65,Badaboom,B2K ft. Fabolous,3,2004-01-01,2004-01-01
65,66,Drinkin' Bone,Tracy Byrd,6,2004-01-01,2004-01-01
66,67,Are You Gonna Be My Girl,Jet,3,2004-01-01,2004-01-01
67,68,Hit That,The Offspring,3,2004-01-01,2004-01-01
68,69,Hell Yeah,Montgomery Gentry,10,2004-01-01,2004-01-01
69,70,Chicks Dig It,Chris Cagle,10,2004-01-01,2004-01-01
70,71,Rain On Me,Ashanti,19,2004-01-01,2004-01-01
71,72,Clubbin,Marques Houston ft. Joe Budden & Pied Piper,18,2004-01-01,2004-01-01
72,73,Away From Me,Puddle Of Mudd,7,2004-01-01,2004-01-01
73,74,Splash Waterfalls,Ludacris,1,2004-01-01,2004-01-01
74,75,Megalomaniac,Incubus,1,2004-01-01,2004-01-01
75,76,Pop That Booty,"Marques Houston ft. Jermaine ""JD"" Dupri",4,2004-01-01,2004-01-01
