,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,"Thank U, Next",Ariana Grande,8,2019-01-01,2019-01-01
1,2,Without Me,Halsey,12,2019-01-01,2019-01-01
2,3,All I Want For Christmas Is You,Mariah Carey,30,2019-01-01,2019-01-01
3,4,Sicko Mode,Travis Scott,21,2019-01-01,2019-01-01
4,5,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,10,2019-01-01,2019-01-01
5,6,High Hopes,Panic! At The Disco,21,2019-01-01,2019-01-01
6,7,Happier,Marshmello & Bastille,19,2019-01-01,2019-01-01
7,8,Jingle Bell Rock,Bobby Helms,25,2019-01-01,2019-01-01
8,9,Rockin' Around The Christmas Tree,Brenda Lee,27,2019-01-01,2019-01-01
9,10,A Holly Jolly Christmas,Burl Ives,10,2019-01-01,2019-01-01
10,11,The Christmas Song (Merry Christmas To You),Nat King Cole,17,2019-01-01,2019-01-01
11,12,Drip Too Hard,Lil Baby & Gunna,15,2019-01-01,2019-01-01
12,13,It's The Most Wonderful Time Of The Year,Andy Williams,10,2019-01-01,2019-01-01
13,14,Girls Like You,Maroon 5 ft. Cardi B,31,2019-01-01,2019-01-01
14,15,ZEZE,Kodak Black ft. Travis Scott & Offset,11,2019-01-01,2019-01-01
15,16,Rudolph The Red-Nosed Reindeer,Gene Autry,4,2019-01-01,2019-01-01
16,17,Mo Bamba,Sheck Wes,18,2019-01-01,2019-01-01
17,18,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,15,2019-01-01,2019-01-01
18,19,Money,Cardi B,10,2019-01-01,2019-01-01
19,20,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,4,2019-01-01,2019-01-01
20,21,Eastside,"benny blanco, Halsey & Khalid",24,2019-01-01,2019-01-01
21,22,Breathin,Ariana Grande,19,2019-01-01,2019-01-01
22,23,Better Now,Post Malone,35,2019-01-01,2019-01-01
23,24,Youngblood,5 Seconds Of Summer,30,2019-01-01,2019-01-01
24,25,Last Christmas,Wham!,9,2019-01-01,2019-01-01
25,26,Sleigh Ride,The Ronettes,3,2019-01-01,2019-01-01
26,27,Lucid Dreams,Juice WRLD,33,2019-01-01,2019-01-01
27,28,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,3,2019-01-01,2019-01-01
28,29,Feliz Navidad,Jose Feliciano,5,2019-01-01,2019-01-01
29,30,Taki Taki,"DJ Snake ft. Selena Gomez, Ozuna & Cardi B",13,2019-01-01,2019-01-01
30,31,MIA,Bad Bunny ft. Drake,11,2019-01-01,2019-01-01
