,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Locked Out Of Heaven,Bruno Mars,12,2013-01-01,2013-01-01
1,2,Diamonds,Rihanna,13,2013-01-01,2013-01-01
2,3,Ho Hey,The Lumineers,29,2013-01-01,2013-01-01
3,4,I Knew You Were Trouble.,Taylor Swift,10,2013-01-01,2013-01-01
4,5,Beauty And A Beat,Justin Bieber ft. Nicki Minaj,11,2013-01-01,2013-01-01
5,6,Die Young,Ke$ha,13,2013-01-01,2013-01-01
6,7,One More Night,Maroon 5,27,2013-01-01,2013-01-01
7,8,I Cry,Flo Rida,13,2013-01-01,2013-01-01
8,9,Home,Phillip Phillips,26,2013-01-01,2013-01-01
9,10,Thrift Shop,Macklemore & Ryan Lewis ft. Wanz,12,2013-01-01,2013-01-01
10,11,Don't You Worry Child,Swedish House Mafia ft. John Martin,14,2013-01-01,2013-01-01
11,12,Scream & Shout,will.i.am & Britney Spears,4,2013-01-01,2013-01-01
12,13,Try,P!nk,9,2013-01-01,2013-01-01
13,14,Some Nights,fun.,44,2013-01-01,2013-01-01
14,15,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,21,2013-01-01,2013-01-01
15,16,Girl On Fire,Alicia Keys ft. Nicki Minaj,16,2013-01-01,2013-01-01
16,17,The A Team,Ed Sheeran,24,2013-01-01,2013-01-01
17,18,It's Time,Imagine Dragons,29,2013-01-01,2013-01-01
18,19,Gangnam Style,PSY,16,2013-01-01,2013-01-01
19,20,Swimming Pools (Drank),Kendrick Lamar,19,2013-01-01,2013-01-01
20,21,All I Want For Christmas Is You,Mariah Carey,4,2013-01-01,2013-01-01
21,22,Cruise,Florida Georgia Line ft. Nelly,19,2013-01-01,2013-01-01
22,23,Clique,"Kanye West, Jay-Z, Big Sean",16,2013-01-01,2013-01-01
23,24,F**kin Problems,"A$AP Rocky ft. Drake, 2 Chainz & Kendrick Lamar",8,2013-01-01,2013-01-01
24,25,Adorn,Miguel,21,2013-01-01,2013-01-01
25,26,Sweet Nothing,Calvin Harris ft. Florence Welch,7,2013-01-01,2013-01-01
26,27,Don't Stop The Party,Pitbull ft. TJR,10,2013-01-01,2013-01-01
27,28,Too Close,Alex Clare,39,2013-01-01,2013-01-01
28,29,We Are Never Ever Getting Back Together,Taylor Swift,20,2013-01-01,2013-01-01
29,30,Catch My Breath,Kelly Clarkson,9,2013-01-01,2013-01-01
30,31,Va Va Voom,Nicki Minaj,10,2013-01-01,2013-01-01
31,32,Little Talks,Of Monsters And Men,31,2013-01-01,2013-01-01
32,33,I'm Different,2 Chainz,6,2013-01-01,2013-01-01
33,34,No Worries,Lil Wayne ft. Detail,16,2013-01-01,2013-01-01
34,35,As Long As You Love Me,Justin Bieber ft. Big Sean,27,2013-01-01,2013-01-01
35,36,Wanted,Hunter Hayes,35,2013-01-01,2013-01-01
36,37,Hall Of Fame,The Script ft. will.i.am,13,2013-01-01,2013-01-01
37,38,Bandz A Make Her Dance,Juicy J ft. Lil Wayne & 2 Chainz,15,2013-01-01,2013-01-01
38,39,I Will Wait,Mumford & Sons,20,2013-01-01,2013-01-01
39,40,Thinkin Bout You,Frank Ocean,24,2013-01-01,2013-01-01
40,41,Little Things,One Direction,6,2013-01-01,2013-01-01
41,42,Don't Wake Me Up,Chris Brown,26,2013-01-01,2013-01-01
42,43,Call Me Maybe,Carly Rae Jepsen,44,2013-01-01,2013-01-01
43,44,Better Dig Two,The Band Perry,8,2013-01-01,2013-01-01
44,45,Lights,Ellie Goulding,53,2013-01-01,2013-01-01
