,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,The Monster,Eminem ft. Rihanna,8,2014-01-01,2014-01-01
1,2,Timber,Pitbull ft. Ke$ha,11,2014-01-01,2014-01-01
2,3,Counting Stars,OneRepublic,27,2014-01-01,2014-01-01
3,4,Say Something,A Great Big World & Christina Aguilera,7,2014-01-01,2014-01-01
4,5,Royals,Lorde,25,2014-01-01,2014-01-01
5,6,Demons,Imagine Dragons,35,2014-01-01,2014-01-01
6,7,Let Her Go,Passenger,21,2014-01-01,2014-01-01
7,8,Wake Me Up!,Avicii,26,2014-01-01,2014-01-01
8,9,Wrecking Ball,Miley Cyrus,18,2014-01-01,2014-01-01
9,10,Story Of My Life,One Direction,8,2014-01-01,2014-01-01
10,11,Roar,Katy Perry,20,2014-01-01,2014-01-01
11,12,Drunk In Love,Beyonce ft. Jay Z,1,2014-01-01,2014-01-01
12,13,"Hold On, We're Going Home",Drake ft. Majid Jordan,20,2014-01-01,2014-01-01
13,14,Dark Horse,Katy Perry ft. Juicy J,14,2014-01-01,2014-01-01
14,15,Burn,Ellie Goulding,16,2014-01-01,2014-01-01
15,16,Do What U Want,Lady Gaga ft. R. Kelly,9,2014-01-01,2014-01-01
16,17,Sweater Weather,The Neighbourhood,28,2014-01-01,2014-01-01
17,18,Team,Lorde,13,2014-01-01,2014-01-01
18,19,White Walls,Macklemore & Ryan Lewis ft. ScHoolboy Q & Hollis,14,2014-01-01,2014-01-01
19,20,23,"Mike WiLL Made-It ft. Miley Cyrus, Wiz Khalifa & Juicy J",14,2014-01-01,2014-01-01
20,21,Pompeii,Bastille,19,2014-01-01,2014-01-01
21,22,Stay The Night,Zedd ft. Hayley Williams,14,2014-01-01,2014-01-01
22,23,Unconditionally,Katy Perry,9,2014-01-01,2014-01-01
23,24,My Hitta,YG ft. Jeezy & Rich Homie Quan,12,2014-01-01,2014-01-01
24,25,Applause,Lady Gaga,19,2014-01-01,2014-01-01
25,26,All I Want For Christmas Is You,Mariah Carey,7,2014-01-01,2014-01-01
26,27,Blurred Lines,Robin Thicke ft. T.I. + Pharrell,36,2014-01-01,2014-01-01
27,28,Holy Grail,Jay Z ft. Justin Timberlake,24,2014-01-01,2014-01-01
28,29,Show Me,Kid Ink ft. Chris Brown,7,2014-01-01,2014-01-01
29,30,Stay,Florida Georgia Line,10,2014-01-01,2014-01-01
30,31,Radioactive,Imagine Dragons,69,2014-01-01,2014-01-01
31,32,Love More,Chris Brown ft. Nicki Minaj,22,2014-01-01,2014-01-01
32,33,Gas Pedal,Sage The Gemini ft. IamSu!,22,2014-01-01,2014-01-01
33,34,Drink A Beer,Luke Bryan,7,2014-01-01,2014-01-01
34,35,Brave,Sara Bareilles,28,2014-01-01,2014-01-01
35,36,It Won't Stop,Sevyn Streeter ft. Chris Brown,12,2014-01-01,2014-01-01
36,37,All Me,Drake ft. 2 Chainz & Big Sean,13,2014-01-01,2014-01-01
37,38,Rap God,Eminem,10,2014-01-01,2014-01-01
38,39,Sail,AWOLNATION,68,2014-01-01,2014-01-01
39,40,Whatever She's Got,David Nail,12,2014-01-01,2014-01-01
40,41,Marry Me,Jason Derulo,12,2014-01-01,2014-01-01
41,42,Safe And Sound,Capital Cities,34,2014-01-01,2014-01-01
42,43,Drunk Last Night,Eli Young Band,16,2014-01-01,2014-01-01
43,44,Best Day Of My Life,American Authors,6,2014-01-01,2014-01-01
44,45,The Christmas Song (Merry Christmas To You),Nat King Cole,6,2014-01-01,2014-01-01
45,46,Wasting All These Tears,Cassadee Pope,16,2014-01-01,2014-01-01
46,47,Carolina,Parmalee,14,2014-01-01,2014-01-01
47,48,Who You Love,John Mayer ft. Katy Perry,2,2014-01-01,2014-01-01
48,49,Replay,Zendaya,18,2014-01-01,2014-01-01
49,50,Rockin' Around The Christmas Tree,Brenda Lee,12,2014-01-01,2014-01-01
50,51,I Have Nothing,Tessanne Chin,1,2014-01-01,2014-01-01
51,52,Sweet Annie,Zac Brown Band,10,2014-01-01,2014-01-01
52,53,Chillin' It,Cole Swindell,10,2014-01-01,2014-01-01
53,54,Let It Go,Idina Menzel,4,2014-01-01,2014-01-01
54,55,All Of Me,John Legend,11,2014-01-01,2014-01-01
55,56,That's My Kind Of Night,Luke Bryan,19,2014-01-01,2014-01-01
56,57,When She Says Baby,Jason Aldean,4,2014-01-01,2014-01-01
57,58,Bottoms Up,Brantley Gilbert,1,2014-01-01,2014-01-01
58,59,Animals,Martin Garrix,14,2014-01-01,2014-01-01
59,60,HeadBand,B.o.B ft. 2 Chainz,28,2014-01-01,2014-01-01
60,61,Let It Go,Demi Lovato,4,2014-01-01,2014-01-01
61,62,Don't Let Me Be Lonely,The Band Perry,10,2014-01-01,2014-01-01
62,63,Hey Brother,Avicii,3,2014-01-01,2014-01-01
63,64,Little Drummer Boy,Pentatonix,3,2014-01-01,2014-01-01
64,65,Friday Night,Eric Paslay,10,2014-01-01,2014-01-01
65,66,XO,Beyonce,1,2014-01-01,2014-01-01
66,67,Up All Night,Jon Pardi,6,2014-01-01,2014-01-01
67,68,The Language,Drake,9,2014-01-01,2014-01-01
68,69,Slow Down,Selena Gomez,20,2014-01-01,2014-01-01
69,70,Love Me Again,John Newman,5,2014-01-01,2014-01-01
70,71,Radio,Darius Rucker,10,2014-01-01,2014-01-01
71,72,I Luv This Sh*t,August Alsina ft. Trinidad James,16,2014-01-01,2014-01-01
72,73,We Were Us,Keith Urban And Miranda Lambert,15,2014-01-01,2014-01-01
73,74,TKO,Justin Timberlake,14,2014-01-01,2014-01-01
74,75,Compass,Lady Antebellum,7,2014-01-01,2014-01-01
75,76,Let It Be,Tessanne Chin & Adam Levine,1,2014-01-01,2014-01-01
76,77,Berzerk,Eminem,17,2014-01-01,2014-01-01
77,78,Underneath The Tree,Kelly Clarkson,3,2014-01-01,2014-01-01
78,79,Up Down (Do This All Day),T-Pain ft. B.o.B,5,2014-01-01,2014-01-01
79,80,Sunny And 75,Joe Nichols,17,2014-01-01,2014-01-01
80,81,Alone Together,Fall Out Boy,4,2014-01-01,2014-01-01
81,82,Best Song Ever,One Direction,20,2014-01-01,2014-01-01
82,83,Do I Wanna Know?,Arctic Monkeys,3,2014-01-01,2014-01-01
83,84,Helluva Life,Frankie Ballard,3,2014-01-01,2014-01-01
84,85,All That Matters,Justin Bieber,4,2014-01-01,2014-01-01
85,86,See You Tonight,Scotty McCreery,4,2014-01-01,2014-01-01
86,87,Bound 2,Kanye West,5,2014-01-01,2014-01-01
87,88,Honest,Future,15,2014-01-01,2014-01-01
88,89,Talk Dirty,Jason Derulo ft. 2 Chainz,1,2014-01-01,2014-01-01
89,90,Perfume,Britney Spears,4,2014-01-01,2014-01-01
90,91,Bounce It,Juicy J ft. Wale & Trey Songz,17,2014-01-01,2014-01-01
91,92,Everybody's Got Somebody But Me,Hunter Hayes ft. Jason Mraz,7,2014-01-01,2014-01-01
92,93,Old School Love,Lupe Fiasco ft. Ed Sheeran,3,2014-01-01,2014-01-01
93,94,Worst Behavior,Drake,2,2014-01-01,2014-01-01
94,95,Waiting For Superman,Daughtry,6,2014-01-01,2014-01-01
95,96,Survival,Eminem,11,2014-01-01,2014-01-01
96,97,Paranoid,Ty Dolla $ign ft. B.o.B,1,2014-01-01,2014-01-01
97,98,The Fox,Ylvis,16,2014-01-01,2014-01-01
98,99,Mine,Beyonce ft. Drake,1,2014-01-01,2014-01-01
99,100,I Hold On,Dierks Bentley,1,2014-01-01,2014-01-01
100,1,The Monster,Eminem ft. Rihanna,9,2014-01-08,2014-01-08
101,2,Timber,Pitbull ft. Ke$ha,12,2014-01-08,2014-01-08
102,3,Counting Stars,OneRepublic,28,2014-01-08,2014-01-08
103,4,Royals,Lorde,26,2014-01-08,2014-01-08
104,5,Say Something,A Great Big World & Christina Aguilera,8,2014-01-08,2014-01-08
105,6,Demons,Imagine Dragons,36,2014-01-08,2014-01-08
106,7,Let Her Go,Passenger,22,2014-01-08,2014-01-08
107,8,Roar,Katy Perry,21,2014-01-08,2014-01-08
108,9,Story Of My Life,One Direction,9,2014-01-08,2014-01-08
109,10,Wake Me Up!,Avicii,27,2014-01-08,2014-01-08
110,11,Dark Horse,Katy Perry ft. Juicy J,15,2014-01-08,2014-01-08
111,12,Wrecking Ball,Miley Cyrus,19,2014-01-08,2014-01-08
112,13,Burn,Ellie Goulding,17,2014-01-08,2014-01-08
113,14,23,"Mike WiLL Made-It ft. Miley Cyrus, Wiz Khalifa & Juicy J",15,2014-01-08,2014-01-08
114,15,"Hold On, We're Going Home",Drake ft. Majid Jordan,21,2014-01-08,2014-01-08
115,16,Sweater Weather,The Neighbourhood,29,2014-01-08,2014-01-08
116,17,Drunk In Love,Beyonce ft. Jay Z,2,2014-01-08,2014-01-08
117,18,White Walls,Macklemore & Ryan Lewis ft. ScHoolboy Q & Hollis,15,2014-01-08,2014-01-08
118,19,Team,Lorde,14,2014-01-08,2014-01-08
119,20,Unconditionally,Katy Perry,10,2014-01-08,2014-01-08
120,21,Pompeii,Bastille,20,2014-01-08,2014-01-08
121,22,Adore You,Miley Cyrus,3,2014-01-08,2014-01-08
122,23,Do What U Want,Lady Gaga ft. R. Kelly,10,2014-01-08,2014-01-08
123,24,My Hitta,YG ft. Jeezy & Rich Homie Quan,13,2014-01-08,2014-01-08
124,25,Radioactive,Imagine Dragons,70,2014-01-08,2014-01-08
125,26,Applause,Lady Gaga,20,2014-01-08,2014-01-08
126,27,Stay The Night,Zedd ft. Hayley Williams,15,2014-01-08,2014-01-08
127,28,Blurred Lines,Robin Thicke ft. T.I. + Pharrell,37,2014-01-08,2014-01-08
128,29,Holy Grail,Jay Z ft. Justin Timberlake,25,2014-01-08,2014-01-08
129,30,Gas Pedal,Sage The Gemini ft. IamSu!,23,2014-01-08,2014-01-08
130,31,Stay,Florida Georgia Line,11,2014-01-08,2014-01-08
131,32,Let It Go,Idina Menzel,5,2014-01-08,2014-01-08
132,33,Rap God,Eminem,11,2014-01-08,2014-01-08
133,34,That's My Kind Of Night,Luke Bryan,20,2014-01-08,2014-01-08
134,35,Sail,AWOLNATION,69,2014-01-08,2014-01-08
135,36,Brave,Sara Bareilles,29,2014-01-08,2014-01-08
136,37,Drink A Beer,Luke Bryan,8,2014-01-08,2014-01-08
137,38,Turn Down For What,DJ Snake & Lil Jon,1,2014-01-08,2014-01-08
138,39,Marry Me,Jason Derulo,13,2014-01-08,2014-01-08
139,40,Replay,Zendaya,19,2014-01-08,2014-01-08
140,41,All Me,Drake ft. 2 Chainz & Big Sean,14,2014-01-08,2014-01-08
141,42,Show Me,Kid Ink ft. Chris Brown,8,2014-01-08,2014-01-08
142,43,Let It Go,Demi Lovato,5,2014-01-08,2014-01-08
143,44,Love More,Chris Brown ft. Nicki Minaj,23,2014-01-08,2014-01-08
144,45,Safe And Sound,Capital Cities,35,2014-01-08,2014-01-08
145,46,Whatever She's Got,David Nail,13,2014-01-08,2014-01-08
146,47,Wasting All These Tears,Cassadee Pope,17,2014-01-08,2014-01-08
147,48,Berzerk,Eminem,18,2014-01-08,2014-01-08
148,49,It Won't Stop,Sevyn Streeter ft. Chris Brown,13,2014-01-08,2014-01-08
149,50,Carolina,Parmalee,15,2014-01-08,2014-01-08
150,51,Chillin' It,Cole Swindell,11,2014-01-08,2014-01-08
151,52,Best Day Of My Life,American Authors,7,2014-01-08,2014-01-08
152,53,HeadBand,B.o.B ft. 2 Chainz,29,2014-01-08,2014-01-08
153,54,Best Song Ever,One Direction,21,2014-01-08,2014-01-08
154,55,Animals,Martin Garrix,15,2014-01-08,2014-01-08
155,56,Drunk Last Night,Eli Young Band,17,2014-01-08,2014-01-08
