,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Irreplaceable,Beyonce,10,2007-01-01,2007-01-01
1,2,I Wanna Love You,Akon ft. Snoop Dogg,13,2007-01-01,2007-01-01
2,3,Fergalicious,Fergie,14,2007-01-01,2007-01-01
3,4,Smack That,Akon ft. Eminem,14,2007-01-01,2007-01-01
4,5,My Love,Justin Timberlake ft. T.I.,16,2007-01-01,2007-01-01
5,6,Say It Right,Nelly Furtado,7,2007-01-01,2007-01-01
6,7,How To Save A Life,The Fray,37,2007-01-01,2007-01-01
7,8,We Fly High,Jim Jones,12,2007-01-01,2007-01-01
8,9,Shortie Like Mine,Bow Wow ft. Chris Brown & Johnta Austin,12,2007-01-01,2007-01-01
9,10,Lips Of An Angel,Hinder,24,2007-01-01,2007-01-01
10,11,It Ends Tonight,The All-American Rejects,13,2007-01-01,2007-01-01
11,12,SexyBack,Justin Timberlake,25,2007-01-01,2007-01-01
12,13,Walk It Out,Unk,16,2007-01-01,2007-01-01
13,14,Promise,Ciara,7,2007-01-01,2007-01-01
14,15,Money Maker,Ludacris ft. Pharrell,20,2007-01-01,2007-01-01
15,16,Welcome To The Black Parade,My Chemical Romance,15,2007-01-01,2007-01-01
16,17,Chasing Cars,Snow Patrol,32,2007-01-01,2007-01-01
17,18,Walk Away (Remember Me),Paula DeAnda ft. The DEY,12,2007-01-01,2007-01-01
18,19,Far Away,Nickelback,23,2007-01-01,2007-01-01
19,20,Keep Holding On,Avril Lavigne,4,2007-01-01,2007-01-01
20,21,Wind It Up,Gwen Stefani,8,2007-01-01,2007-01-01
21,22,Runaway Love,Ludacris ft. Mary J. Blige,6,2007-01-01,2007-01-01
22,23,What Goes Around...Comes Around,Justin Timberlake,3,2007-01-01,2007-01-01
23,24,Before He Cheats,Carrie Underwood,17,2007-01-01,2007-01-01
24,25,Hurt,Christina Aguilera,13,2007-01-01,2007-01-01
25,26,I Luv It,Young Jeezy,6,2007-01-01,2007-01-01
26,27,Make It Rain,Fat Joe ft. Lil Wayne,8,2007-01-01,2007-01-01
27,28,Waiting On The World To Change,John Mayer,24,2007-01-01,2007-01-01
28,29,You,Lloyd ft. Lil Wayne,7,2007-01-01,2007-01-01
29,30,Say Goodbye,Chris Brown,20,2007-01-01,2007-01-01
30,31,Snow ((Hey Oh)),Red Hot Chili Peppers,6,2007-01-01,2007-01-01
31,32,That's That,Snoop Dogg ft. R. Kelly,6,2007-01-01,2007-01-01
32,33,Too Little Too Late,JoJo,19,2007-01-01,2007-01-01
33,34,Money In The Bank,Lil Scrappy ft. Young Buck,15,2007-01-01,2007-01-01
34,35,Wait A Minute,The Pussycat Dolls ft. Timbaland,7,2007-01-01,2007-01-01
35,36,Call Me When You're Sober,Evanescence,19,2007-01-01,2007-01-01
