,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,TiK ToK,Ke$ha,11,2010-01-01,2010-01-01
1,2,Empire State Of Mind,Jay-Z + Alicia Keys,15,2010-01-01,2010-01-01
2,3,Bad Romance,Lady Gaga,8,2010-01-01,2010-01-01
3,4,Replay,Iyaz,18,2010-01-01,2010-01-01
4,5,Fireflies,Owl City,18,2010-01-01,2010-01-01
5,6,Sexy Chick,David Guetta ft. Akon,20,2010-01-01,2010-01-01
6,7,Whatcha Say,Jason Derulo,19,2010-01-01,2010-01-01
7,8,Down,Jay Sean ft. Lil Wayne,25,2010-01-01,2010-01-01
8,9,Meet Me Halfway,The Black Eyed Peas,14,2010-01-01,2010-01-01
9,10,3,Britney Spears,11,2010-01-01,2010-01-01
10,11,Hard,Rihanna ft. Jeezy,5,2010-01-01,2010-01-01
11,12,BedRock,Young Money ft. Lloyd,4,2010-01-01,2010-01-01
12,13,How Low,Ludacris,2,2010-01-01,2010-01-01
13,14,Do You Remember,Jay Sean ft. Sean Paul & Lil Jon,7,2010-01-01,2010-01-01
14,15,Paparazzi,Lady Gaga,17,2010-01-01,2010-01-01
15,16,Forever,"Drake ft. Kanye West, Lil Wayne & Eminem",14,2010-01-01,2010-01-01
16,17,Sweet Dreams,Beyonce,22,2010-01-01,2010-01-01
17,18,Already Gone,Kelly Clarkson,21,2010-01-01,2010-01-01
18,19,Party In The U.S.A.,Miley Cyrus,19,2010-01-01,2010-01-01
19,20,I Gotta Feeling,The Black Eyed Peas,28,2010-01-01,2010-01-01
20,21,Need You Now,Lady Antebellum,19,2010-01-01,2010-01-01
21,22,You Belong With Me,Taylor Swift,35,2010-01-01,2010-01-01
22,23,Two Is Better Than One,Boys Like Girls ft. Taylor Swift,9,2010-01-01,2010-01-01
23,24,I Can Transform Ya,Chris Brown ft. Lil Wayne & Swizz Beatz,11,2010-01-01,2010-01-01
24,25,Use Somebody,Kings Of Leon,47,2010-01-01,2010-01-01
25,26,Money To Blow,Birdman ft. Lil Wayne & Drake,11,2010-01-01,2010-01-01
26,27,Try Sleeping With A Broken Heart,Alicia Keys,5,2010-01-01,2010-01-01
27,28,Evacuate The Dancefloor,Cascada,19,2010-01-01,2010-01-01
28,29,Hell Breaks Loose,Eminem ft. Dr. Dre,1,2010-01-01,2010-01-01
29,30,Fifteen,Taylor Swift,16,2010-01-01,2010-01-01
30,31,Tie Me Down,New Boyz ft. Ray J,10,2010-01-01,2010-01-01
31,32,"Hey, Soul Sister",Train,12,2010-01-01,2010-01-01
32,33,Live Like We're Dying,Kris Allen,8,2010-01-01,2010-01-01
33,34,Say Aah,Trey Songz ft. Fabolous,6,2010-01-01,2010-01-01
34,35,Gangsta Luv,Snoop Dogg ft. The-Dream,9,2010-01-01,2010-01-01
35,36,Baby By Me,50 Cent ft. Ne-Yo,8,2010-01-01,2010-01-01
