,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Smooth,Santana ft. Rob Thomas,23,2000-01-01,2000-01-01
1,2,Back At One,Brian McKnight,19,2000-01-01,2000-01-01
2,3,I Wanna Love You Forever,Jessica Simpson,12,2000-01-01,2000-01-01
3,4,My Love Is Your Love,Whitney Houston,18,2000-01-01,2000-01-01
4,5,I Knew I Loved You,Savage Garden,11,2000-01-01,2000-01-01
5,6,I Need To Know,Marc Anthony,17,2000-01-01,2000-01-01
6,7,Hot Boyz,"Missy ""Misdemeanor"" Elliott ft. NAS, EVE & Q-Tip",6,2000-01-01,2000-01-01
7,8,U Know What's Up,Donell Jones,15,2000-01-01,2000-01-01
8,9,Bring It All To Me,Blaque,11,2000-01-01,2000-01-01
9,10,Girl On TV,LFO,7,2000-01-01,2000-01-01
10,11,What A Girl Wants,Christina Aguilera,6,2000-01-01,2000-01-01
11,12,24/7,Kevon Edmonds,9,2000-01-01,2000-01-01
12,13,Blue (Da Ba Dee),Eiffel 65,4,2000-01-01,2000-01-01
13,14,Then The Morning Comes,Smash Mouth,10,2000-01-01,2000-01-01
14,15,He Can't Love U,Jagged Edge,4,2000-01-01,2000-01-01
15,16,Waiting For Tonight,Jennifer Lopez,12,2000-01-01,2000-01-01
16,17,That's The Way It Is,Celine Dion,8,2000-01-01,2000-01-01
17,18,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,3,2000-01-01,2000-01-01
18,19,Dancin',Guy,3,2000-01-01,2000-01-01
19,20,Steal My Sunshine,Len,21,2000-01-01,2000-01-01
20,21,Get It On Tonite,Montell Jordan,11,2000-01-01,2000-01-01
21,22,Learn To Fly,Foo Fighters,12,2000-01-01,2000-01-01
22,23,Big Deal,LeAnn Rimes,12,2000-01-01,2000-01-01
23,24,Meet Virginia,Train,13,2000-01-01,2000-01-01
24,25,Unpretty,TLC,28,2000-01-01,2000-01-01
25,26,Breathe,Faith Hill,9,2000-01-01,2000-01-01
26,27,Back That Thang Up,Juvenile ft. Mannie Fresh & Lil' Wayne,26,2000-01-01,2000-01-01
27,28,"4, 5, 6",Sole ft. JT Money & Kandi,10,2000-01-01,2000-01-01
28,29,Stay The Night,IMx,13,2000-01-01,2000-01-01
29,30,Don't Say You Love Me,M2M,7,2000-01-01,2000-01-01
30,31,Where My Girls At?,702,36,2000-01-01,2000-01-01
31,32,Mambo No. 5 (A Little Bit Of...),Lou Bega,19,2000-01-01,2000-01-01
32,33,Hanginaround,Counting Crows,9,2000-01-01,2000-01-01
33,34,Take A Picture,Filter,6,2000-01-01,2000-01-01
34,35,Get Gone,Ideal,20,2000-01-01,2000-01-01
35,36,Someday,Sugar Ray,27,2000-01-01,2000-01-01
36,37,He Didn't Have To Be,Brad Paisley,11,2000-01-01,2000-01-01
37,38,Got Your Money,Ol' Dirty Bastard ft. Kelis,11,2000-01-01,2000-01-01
38,39,Shake Your Bon-Bon,Ricky Martin,7,2000-01-01,2000-01-01
39,40,If You Love Me,Mint Condition,9,2000-01-01,2000-01-01
40,41,Black Balloon,Goo Goo Dolls,26,2000-01-01,2000-01-01
41,42,Rhythm Divine,Enrique Iglesias,5,2000-01-01,2000-01-01
42,43,Thank God I Found You,Mariah Carey ft. Joe & 98 Degrees,4,2000-01-01,2000-01-01
43,44,Satisfy You,Puff Daddy ft. R. Kelly,15,2000-01-01,2000-01-01
44,45,Amazed,Lonestar,22,2000-01-01,2000-01-01
45,46,What Do You Say,Reba,10,2000-01-01,2000-01-01
46,47,You Can Do It,Ice Cube ft. Mack 10 & Ms. Toi,5,2000-01-01,2000-01-01
47,48,Cowboy Take Me Away,Dixie Chicks,6,2000-01-01,2000-01-01
48,49,When I Said I Do,Clint Black,12,2000-01-01,2000-01-01
49,50,My Best Friend,Tim McGraw,6,2000-01-01,2000-01-01
50,51,Got To Get It,Sisqo ft. Make It Hot,7,2000-01-01,2000-01-01
51,52,All The Small Things,Blink-182,5,2000-01-01,2000-01-01
52,53,This Gift,98 Degrees,1,2000-01-01,2000-01-01
53,54,Auld Lang Syne,Kenny G,2,2000-01-01,2000-01-01
54,55,Angels,Robbie Williams,7,2000-01-01,2000-01-01
55,56,Say My Name,Destiny's Child,2,2000-01-01,2000-01-01
56,57,Pop A Top,Alan Jackson,8,2000-01-01,2000-01-01
57,58,Caught Out There,Kelis,5,2000-01-01,2000-01-01
58,59,15 Minutes,Marc Nelson,14,2000-01-01,2000-01-01
59,60,Heartbreaker,Mariah Carey ft. Jay-Z,18,2000-01-01,2000-01-01
60,61,Higher,Creed,17,2000-01-01,2000-01-01
61,62,Bling Bling,"B.G. ft. Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",16,2000-01-01,2000-01-01
62,63,Will 2K,Will Smith ft. K-Ci,10,2000-01-01,2000-01-01
63,64,Deep Inside,Mary J. Blige,8,2000-01-01,2000-01-01
64,65,All Things Considered,Yankee Grey,16,2000-01-01,2000-01-01
65,66,I Love You,Martina McBride,19,2000-01-01,2000-01-01
66,67,Sexual (Li Da Di),Amber,21,2000-01-01,2000-01-01
67,68,None Of Ur Friends Business,Ginuwine,4,2000-01-01,2000-01-01
68,69,Deck The Halls,SHeDAISY,2,2000-01-01,2000-01-01
69,70,Left & Right,D'Angelo ft. Method Man And Redman,4,2000-01-01,2000-01-01
70,71,Smile,Lonestar,3,2000-01-01,2000-01-01
71,72,The Great Beyond,R.E.M.,2,2000-01-01,2000-01-01
72,73,Bug A Boo,Destiny's Child,15,2000-01-01,2000-01-01
73,74,Show Me The Meaning Of Being Lonely,Backstreet Boys,1,2000-01-01,2000-01-01
74,75,We Can't Be Friends,Deborah Cox With R.L.,17,2000-01-01,2000-01-01
75,76,(You Drive Me) Crazy,Britney Spears,16,2000-01-01,2000-01-01
76,77,One Night Stand,J-Shin ft. LaTocha Scott,2,2000-01-01,2000-01-01
77,78,N 2 Gether Now,Limp Bizkit ft. Method Man,5,2000-01-01,2000-01-01
78,79,No More Rain (In This Cloud),Angie Stone,2,2000-01-01,2000-01-01
79,80,Home To You,John Michael Montgomery,14,2000-01-01,2000-01-01
80,81,The Chemicals Between Us,Bush,14,2000-01-01,2000-01-01
81,82,Tha Block Is Hot,Lil' Wayne ft. Juvenile & B.G.,5,2000-01-01,2000-01-01
82,83,Guerrilla Radio,Rage Against The Machine,10,2000-01-01,2000-01-01
83,84,"Live, Laugh, Love",Clay Walker,5,2000-01-01,2000-01-01
84,85,Notorious B.I.G.,The Notorious B.I.G. ft. Puff Daddy & Lil' Kim,4,2000-01-01,2000-01-01
85,86,She Thinks My Tractor's Sexy,Kenny Chesney,7,2000-01-01,2000-01-01
