,Top_Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week,Duration,Loudness,Tempo,Tempo_Confidence,Meter,Meter_Confidence,Key,Key_Confidence,Mode,Mode_Confidence,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Artist_Genres
0,39,'Tis The Damn Season,Taylor Swift,2,2020-12-23,2020-12-30,229.84,-8.193,145.916,0.362,4.0,0.72,5.0,0.693,1.0,0.585,0.735,0.575,0.434,6.59e-05,0.105,0.0312,0.348,['pop']
1,22,(There's No Place Like) Home For The Holidays,Perry Como,7,2020-01-01,2020-12-30,178.29333,-10.629,143.823,0.188,4.0,0.636,5.0,0.42,1.0,0.384,0.869,0.532,0.401,0.0,0.222,0.0525,0.45,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']"
2,5,"10,000 Hours",Dan + Shay & Justin Bieber,30,2020-01-01,2020-05-06,167.69333,-4.644,89.991,0.281,4.0,0.923,10.0,0.194,1.0,0.297,0.153,0.654,0.63,0.0,0.111,0.0259,0.43,"['canadian contemporary r&b', 'pop', 'r&b']"
3,94,20/20,Lil Tjay,1,2020-01-15,2020-01-15,230.44798,-12.779,100.044,0.224,4.0,1.0,4.0,0.581,1.0,0.569,0.557,0.886,0.336,0.0,0.0933,0.239,0.536,"['brooklyn drill', 'melodic rap', 'nyc rap']"
4,62,21,Polo G,8,2020-05-27,2020-09-02,163.79787,-10.646,176.027,0.345,4.0,0.923,7.0,0.316,1.0,0.5,0.149,0.783,0.479,0.0,0.101,0.541,0.533,['chicago rap']
5,78,223's,YNW Melly & 9lokknine,19,2020-01-01,2020-01-22,176.64009,-7.787,94.998,0.856,4.0,1.0,0.0,0.511,0.0,0.443,0.0388,0.932,0.547,0.0,0.0924,0.333,0.695,"['melodic rap', 'trap', 'viral rap']"
6,49,24,Money Man ft. Lil Baby,14,2020-08-26,2020-11-25,182.85715,-7.746,126.03,0.833,4.0,1.0,2.0,0.598,1.0,0.647,0.146,0.868,0.638,0.0565,0.0931,0.0736,0.459,"['memphis hip hop', 'rap', 'southern hip hop', 'trap']"
7,43,3 Headed Goat,Lil Durk ft. Lil Baby & Polo G,16,2020-05-20,2020-10-28,169.53162,-8.618,143.029,0.281,4.0,1.0,8.0,0.686,0.0,0.363,0.269,0.846,0.48,0.0,0.0989,0.359,0.419,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
8,93,33,Polo G,1,2020-05-27,2020-05-27,170.05714,-10.191,180.067,0.073,4.0,1.0,5.0,0.057,0.0,0.273,0.126,0.732,0.462,0.0,0.12,0.406,0.117,['chicago rap']
9,8,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,8,2020-11-11,2020-12-30,182.43782,-5.768,109.957,0.287,4.0,1.0,5.0,0.348,1.0,0.091,0.211,0.659,0.662,0.0,0.228,0.434,0.704,
10,39,44 Bulldog,Pop Smoke,2,2020-07-15,2020-07-22,150.85715,-5.817,139.989,0.432,4.0,1.0,8.0,0.367,1.0,0.535,0.0287,0.8,0.564,1.65e-06,0.112,0.4,0.318,['brooklyn drill']
11,6,7 Summers,Morgan Wallen,18,2020-08-26,2020-12-30,210.50667,-5.13,203.903,0.33,4.0,1.0,0.0,0.78,1.0,0.821,0.417,0.466,0.786,6.1e-05,0.125,0.0328,0.571,"['contemporary country', 'country']"
12,35,@ MEH,Playboi Carti,1,2020-04-29,2020-04-29,166.79918,-8.11,151.044,0.938,4.0,1.0,11.0,0.459,0.0,0.513,0.0136,0.876,0.492,0.000283,0.0678,0.153,0.4,"['atl hip hop', 'hip hop', 'plugg', 'pluggnb', 'rap']"
13,4,A Holly Jolly Christmas,Burl Ives,19,2020-01-01,2020-12-30,135.53333,-13.056,140.467,0.47,4.0,0.344,0.0,0.282,1.0,0.37,0.579,0.683,0.375,0.0,0.076,0.0303,0.888,"['adult standards', 'american folk revival']"
14,84,Adderall (Corvette Corvette),Popp Hunna,1,2020-12-30,2020-12-30,176.38281,-3.545,141.06,0.798,4.0,1.0,4.0,0.0,0.0,0.0,0.217,0.921,0.718,0.0,0.189,0.299,0.677,"['philly rap', 'viral rap']"
15,6,Adore You,Harry Styles,50,2020-01-01,2020-11-25,207.13333,-3.675,99.048,0.385,4.0,1.0,8.0,0.51,1.0,0.547,0.0237,0.676,0.771,7e-06,0.102,0.0483,0.569,['pop']
16,31,After A Few,Travis Denning,15,2020-04-08,2020-07-15,213.49333,-4.316,106.998,0.791,4.0,0.757,10.0,0.488,0.0,0.548,0.0146,0.617,0.849,0.0,0.194,0.0355,0.695,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
17,20,After Hours,The Weeknd,7,2020-02-26,2020-04-15,200.04,-5.934,171.005,0.875,4.0,1.0,1.0,0.0,1.0,0.152,0.00146,0.514,0.73,9.54e-05,0.0897,0.0598,0.334,"['canadian contemporary r&b', 'canadian pop', 'pop']"
18,57,After Party,Don Toliver,20,2020-04-29,2020-09-16,167.91592,-8.045,162.948,0.309,4.0,0.993,5.0,0.094,1.0,0.28,0.00981,0.629,0.692,0.331,0.603,0.0376,0.453,"['pop', 'rap', 'trap']"
19,59,Afterglow,Ed Sheeran,1,2020-12-30,2020-12-30,185.4868,-5.851,110.184,0.527,4.0,0.947,11.0,1.0,1.0,0.958,0.698,0.641,0.324,0.0,0.328,0.0299,0.273,"['pop', 'uk pop']"
20,34,Aim For The Moon,Pop Smoke ft. Quavo,2,2020-07-15,2020-07-22,190.4762,-6.606,125.971,0.658,4.0,1.0,6.0,0.206,0.0,0.3,0.114,0.823,0.586,0.0,0.193,0.2,0.347,['brooklyn drill']
21,55,Ain't Always The Cowboy,Jon Pardi,16,2020-09-09,2020-12-23,220.88095,-3.458,151.913,0.545,4.0,1.0,9.0,0.585,1.0,0.543,0.0094,0.539,0.837,0.0,0.262,0.0385,0.551,"['contemporary country', 'country', 'country road', 'modern country rock']"
22,83,Ain't Easy,YoungBoy Never Broke Again,1,2020-05-06,2020-05-06,145.85138,-6.596,79.002,0.191,4.0,0.672,11.0,0.278,0.0,0.522,0.176,0.738,0.678,0.0,0.25,0.134,0.514,"['baton rouge rap', 'trap']"
23,84,Alice,Lady Gaga,1,2020-06-10,2020-06-10,177.6,-4.287,123.036,0.941,4.0,1.0,11.0,0.274,0.0,0.317,0.00334,0.723,0.88,0.0179,0.0632,0.038,0.323,"['art pop', 'dance pop', 'pop']"
