,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Sexy And I Know It,LMFAO,17,2012-01-01,2012-01-01
1,2,We Found Love,Rihanna ft. Calvin Harris,14,2012-01-01,2012-01-01
2,3,The One That Got Away,Katy Perry,11,2012-01-01,2012-01-01
3,4,It Will Rain,Bruno Mars,13,2012-01-01,2012-01-01
4,5,Ni**as in Paris,Jay Z Kanye West,20,2012-01-01,2012-01-01
5,6,Good Feeling,Flo Rida,13,2012-01-01,2012-01-01
6,7,Set Fire To The Rain,Adele,17,2012-01-01,2012-01-01
7,8,Someone Like You,Adele,25,2012-01-01,2012-01-01
8,9,Party Rock Anthem,LMFAO ft. Lauren Bennett & GoonRock,40,2012-01-01,2012-01-01
9,10,Dance (A$$),Big Sean ft. Nicki Minaj,12,2012-01-01,2012-01-01
10,11,Stereo Hearts,Gym Class Heroes ft. Adam Levine,28,2012-01-01,2012-01-01
11,12,Moves Like Jagger,Maroon 5 ft. Christina Aguilera,27,2012-01-01,2012-01-01
12,13,5 O'Clock,T-Pain ft. Wiz Khalifa & Lily Allen,13,2012-01-01,2012-01-01
13,14,Without You,David Guetta ft. Usher,17,2012-01-01,2012-01-01
14,15,Headlines,Drake,20,2012-01-01,2012-01-01
15,16,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa ft. Bruno Mars,11,2012-01-01,2012-01-01
16,17,Work Out,J. Cole,17,2012-01-01,2012-01-01
17,18,Red Solo Cup,Toby Keith,9,2012-01-01,2012-01-01
18,19,Mistletoe,Justin Bieber,9,2012-01-01,2012-01-01
19,20,Pumped Up Kicks,Foster The People,35,2012-01-01,2012-01-01
20,21,The Motto,Drake ft. Lil Wayne,6,2012-01-01,2012-01-01
21,22,You Da One,Rihanna,7,2012-01-01,2012-01-01
22,23,Not Over You,Gavin DeGraw,20,2012-01-01,2012-01-01
23,24,Make Me Proud,Drake ft. Nicki Minaj,11,2012-01-01,2012-01-01
24,25,Domino,Jessie J,11,2012-01-01,2012-01-01
25,26,I Don't Want This Night To End,Luke Bryan,13,2012-01-01,2012-01-01
26,27,Love You Like A Love Song,Selena Gomez & The Scene,27,2012-01-01,2012-01-01
27,28,Super Bass,Nicki Minaj,35,2012-01-01,2012-01-01
28,29,I Like It Like That,Hot Chelle Rae ft. New Boyz,12,2012-01-01,2012-01-01
