,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Blank Space,Taylor Swift,8,2015-01-01,2015-01-01
1,2,Take Me To Church,Hozier,19,2015-01-01,2015-01-01
2,3,Uptown Funk!,Mark Ronson ft. Bruno Mars,6,2015-01-01,2015-01-01
3,4,Thinking Out Loud,Ed Sheeran,11,2015-01-01,2015-01-01
4,5,Lips Are Movin,Meghan Trainor,9,2015-01-01,2015-01-01
5,6,I'm Not The Only One,Sam Smith,16,2015-01-01,2015-01-01
6,7,Love Me Harder,Ariana Grande & The Weeknd,11,2015-01-01,2015-01-01
7,8,Jealous,Nick Jonas,15,2015-01-01,2015-01-01
8,9,Animals,Maroon 5,18,2015-01-01,2015-01-01
9,10,All About That Bass,Meghan Trainor,24,2015-01-01,2015-01-01
10,11,Shake It Off,Taylor Swift,18,2015-01-01,2015-01-01
11,12,I Don't F**k With You,Big Sean ft. E-40,13,2015-01-01,2015-01-01
12,13,The Heart Wants What It Wants,Selena Gomez,7,2015-01-01,2015-01-01
13,14,Wasted Love,Matt McAndrew,1,2015-01-01,2015-01-01
14,15,Only,"Nicki Minaj ft. Drake, Lil Wayne & Chris Brown",8,2015-01-01,2015-01-01
15,16,Habits (Stay High),Tove Lo,30,2015-01-01,2015-01-01
16,17,Tuesday,I LOVE MAKONNEN ft. Drake,13,2015-01-01,2015-01-01
17,18,Waves,Mr. Probz,18,2015-01-01,2015-01-01
18,19,Don't,Ed Sheeran,28,2015-01-01,2015-01-01
19,20,Centuries,Fall Out Boy,15,2015-01-01,2015-01-01
20,21,The Hanging Tree,James Newton Howard ft. Jennifer Lawrence,4,2015-01-01,2015-01-01
21,22,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",21,2015-01-01,2015-01-01
22,23,No Type,Rae Sremmurd,13,2015-01-01,2015-01-01
23,24,7/11,Beyonce,4,2015-01-01,2015-01-01
24,25,Hot Boy,Bobby Shmurda,21,2015-01-01,2015-01-01
25,26,Blame,Calvin Harris ft. John Newman,15,2015-01-01,2015-01-01
26,27,Stay With Me,Sam Smith,37,2015-01-01,2015-01-01
27,28,CoCo,O.T. Genasis,5,2015-01-01,2015-01-01
28,29,Beg For It,Iggy Azalea ft. M0,9,2015-01-01,2015-01-01
29,30,Don't Tell 'Em,Jeremih ft. YG,26,2015-01-01,2015-01-01
30,31,I Don't Mind,Usher ft. Juicy J,5,2015-01-01,2015-01-01
31,32,Riptide,Vance Joy,26,2015-01-01,2015-01-01
32,33,Black Widow,Iggy Azalea ft. Rita Ora,25,2015-01-01,2015-01-01
33,34,My Baby's Got A Smile On Her Face,Craig Wayne Boyd,1,2015-01-01,2015-01-01
34,35,All I Want For Christmas Is You,Mariah Carey,10,2015-01-01,2015-01-01
35,36,Heroes (We Could Be),Alesso ft. Tove Lo,12,2015-01-01,2015-01-01
36,37,Trumpets,Jason Derulo,30,2015-01-01,2015-01-01
37,38,Shotgun Rider,Tim McGraw,12,2015-01-01,2015-01-01
38,39,Stolen Dance,Milky Chance,22,2015-01-01,2015-01-01
39,40,Chandelier,Sia,33,2015-01-01,2015-01-01
40,41,Something In The Water,Carrie Underwood,12,2015-01-01,2015-01-01
41,42,Santa Tell Me,Ariana Grande,4,2015-01-01,2015-01-01
42,43,Feeling Myself,Nicki Minaj ft. Beyonce,1,2015-01-01,2015-01-01
43,44,Lifestyle,Rich Gang ft. Young Thug & Rich Homie Quan,23,2015-01-01,2015-01-01
44,45,Rather Be,Clean Bandit ft. Jess Glynne,28,2015-01-01,2015-01-01
45,46,Try Me,DeJ Loaf,9,2015-01-01,2015-01-01
46,47,Ghost,Ella Henderson,8,2015-01-01,2015-01-01
47,48,Anaconda,Nicki Minaj,20,2015-01-01,2015-01-01
48,49,Rude,MAGIC!,35,2015-01-01,2015-01-01
49,50,Night Changes,One Direction,5,2015-01-01,2015-01-01
50,51,Talladega,Eric Church,9,2015-01-01,2015-01-01
51,52,"Touchin, Lovin",Trey Songz ft. Nicki Minaj,16,2015-01-01,2015-01-01
52,53,Velvet,Chris Jamison,1,2015-01-01,2015-01-01
53,54,Hold You Down,"DJ Khaled ft. Chris Brown, August Alsina, Future & Jeremih",16,2015-01-01,2015-01-01
54,55,L.A.LOVE (la la),Fergie,11,2015-01-01,2015-01-01
55,56,About The Money,T.I. ft. Young Thug,20,2015-01-01,2015-01-01
56,57,Sun Daze,Florida Georgia Line,9,2015-01-01,2015-01-01
57,58,"Mary, Did You Know?",Pentatonix,5,2015-01-01,2015-01-01
58,59,Perfect Storm,Brad Paisley,11,2015-01-01,2015-01-01
59,60,I Bet My Life,Imagine Dragons,7,2015-01-01,2015-01-01
60,61,I See You,Luke Bryan,4,2015-01-01,2015-01-01
61,62,Bed Of Lies,Nicki Minaj ft. Skylar Grey,4,2015-01-01,2015-01-01
62,63,Lost Without U,Chris Jamison & Adam Levine,1,2015-01-01,2015-01-01
63,64,I Lived,OneRepublic,4,2015-01-01,2015-01-01
64,65,Masterpiece,Jessie J,1,2015-01-01,2015-01-01
65,66,Lonely Tonight,Blake Shelton ft. Ashley Monroe,3,2015-01-01,2015-01-01
66,67,Til It's Gone,Kenny Chesney,8,2015-01-01,2015-01-01
67,68,Dangerous,David Guetta ft. Sam Martin,9,2015-01-01,2015-01-01
68,69,Prayer In C,Lillywood & Robin Schulz,3,2015-01-01,2015-01-01
69,70,Steal My Girl,One Direction,12,2015-01-01,2015-01-01
70,71,Close Your Eyes,Parmalee,13,2015-01-01,2015-01-01
71,72,Drinking Class,Lee Brice,10,2015-01-01,2015-01-01
72,73,Just Gettin' Started,Jason Aldean,4,2015-01-01,2015-01-01
73,74,Soldier,Damien,1,2015-01-01,2015-01-01
74,75,Sledgehammer,Fifth Harmony,4,2015-01-01,2015-01-01
75,76,Make Me Wanna,Thomas Rhett,6,2015-01-01,2015-01-01
76,77,G.D.F.R.,Flo Rida ft. Sage The Gemini & Lookas,6,2015-01-01,2015-01-01
77,78,God Made Girls,RaeLynn,9,2015-01-01,2015-01-01
78,79,She Knows,Ne-Yo ft. Juicy J,5,2015-01-01,2015-01-01
79,80,Somewhere In My Car,Keith Urban,17,2015-01-01,2015-01-01
80,81,Often,The Weeknd,10,2015-01-01,2015-01-01
81,82,Mean To Me,Brett Eldredge,7,2015-01-01,2015-01-01
82,83,Lost Stars,Matt McAndrew & Adam Levine,1,2015-01-01,2015-01-01
83,84,Girl In A Country Song,Maddie & Tae,20,2015-01-01,2015-01-01
84,85,Try,Colbie Caillat,18,2015-01-01,2015-01-01
85,86,Shut Up And Dance,WALK THE MOON,6,2015-01-01,2015-01-01
86,87,Time Of Our Lives,Pitbull & Ne-Yo,2,2015-01-01,2015-01-01
87,88,Get On Your Knees,Nicki Minaj ft. Ariana Grande,1,2015-01-01,2015-01-01
88,89,***Flawless,Beyonce ft. Nicki Minaj Or Chimamanda Ngozi Adichie,13,2015-01-01,2015-01-01
