,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,All I Want For Christmas Is You,Mariah Carey,37,2020-01-01,2020-01-01
1,2,Rockin' Around The Christmas Tree,Brenda Lee,32,2020-01-01,2020-01-01
2,3,Jingle Bell Rock,Bobby Helms,30,2020-01-01,2020-01-01
3,4,A Holly Jolly Christmas,Burl Ives,15,2020-01-01,2020-01-01
4,5,Circles,Post Malone,17,2020-01-01,2020-01-01
5,6,Roxanne,Arizona Zervas,8,2020-01-01,2020-01-01
6,7,It's The Most Wonderful Time Of The Year,Andy Williams,15,2020-01-01,2020-01-01
7,8,Someone You Loved,Lewis Capaldi,33,2020-01-01,2020-01-01
8,9,Memories,Maroon 5,14,2020-01-01,2020-01-01
9,10,Good As Hell,Lizzo,18,2020-01-01,2020-01-01
10,11,Last Christmas,Wham!,14,2020-01-01,2020-01-01
11,12,Feliz Navidad,Jose Feliciano,9,2020-01-01,2020-01-01
12,13,The Box,Roddy Ricch,3,2020-01-01,2020-01-01
13,14,Dance Monkey,Tones And I,12,2020-01-01,2020-01-01
14,15,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,8,2020-01-01,2020-01-01
15,16,The Christmas Song (Merry Christmas To You),Nat King Cole,21,2020-01-01,2020-01-01
16,17,"10,000 Hours",Dan + Shay & Justin Bieber,12,2020-01-01,2020-01-01
17,18,Lose You To Love Me,Selena Gomez,10,2020-01-01,2020-01-01
18,19,Ballin',Mustard & Roddy Ricch,23,2020-01-01,2020-01-01
19,20,BOP,DaBaby,13,2020-01-01,2020-01-01
20,21,Sleigh Ride,The Ronettes,7,2020-01-01,2020-01-01
21,22,Rudolph The Red-Nosed Reindeer,Gene Autry,8,2020-01-01,2020-01-01
22,23,Bad Guy,Billie Eilish,39,2020-01-01,2020-01-01
23,24,Happy Holiday / The Holiday Season,Andy Williams,4,2020-01-01,2020-01-01
24,25,No Guidance,Chris Brown ft. Drake,29,2020-01-01,2020-01-01
25,26,Senorita,Shawn Mendes & Camila Cabello,27,2020-01-01,2020-01-01
26,27,Bandit,Juice WRLD & YoungBoy Never Broke Again,12,2020-01-01,2020-01-01
27,28,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,4,2020-01-01,2020-01-01
28,29,Christmas (Baby Please Come Home),Darlene Love,3,2020-01-01,2020-01-01
29,30,Panini,Lil Nas X,27,2020-01-01,2020-01-01
30,31,Underneath The Tree,Kelly Clarkson,5,2020-01-01,2020-01-01
31,32,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,6,2020-01-01,2020-01-01
32,33,Hot,Young Thug ft. Gunna,19,2020-01-01,2020-01-01
33,34,Old Town Road,Lil Nas X ft. Billy Ray Cyrus,43,2020-01-01,2020-01-01
34,35,Truth Hurts,Lizzo,34,2020-01-01,2020-01-01
35,36,Run Rudolph Run,Chuck Berry,5,2020-01-01,2020-01-01
36,37,(There's No Place Like) Home For The Holidays,Perry Como,3,2020-01-01,2020-01-01
37,38,HIGHEST IN THE ROOM,Travis Scott,12,2020-01-01,2020-01-01
38,39,Heartless,The Weeknd,5,2020-01-01,2020-01-01
39,40,Blue Christmas,Elvis Presley,2,2020-01-01,2020-01-01
40,41,Everything I Wanted,Billie Eilish,7,2020-01-01,2020-01-01
41,42,White Christmas,Bing Crosby,16,2020-01-01,2020-01-01
42,43,Jingle Bells,Frank Sinatra,2,2020-01-01,2020-01-01
43,44,Like It's Christmas,Jonas Brothers,4,2020-01-01,2020-01-01
44,45,Baby It's Cold Outside,Dean Martin,1,2020-01-01,2020-01-01
45,46,Trampoline,SHAED,30,2020-01-01,2020-01-01
46,47,Woah,Lil Baby,7,2020-01-01,2020-01-01
47,48,Futsal Shuffle 2020,Lil Uzi Vert,2,2020-01-01,2020-01-01
48,49,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,1,2020-01-01,2020-01-01
49,50,Ran$om,Lil Tecca,30,2020-01-01,2020-01-01
50,51,Falling,Trevor Daniel,6,2020-01-01,2020-01-01
51,52,Don't Start Now,Dua Lipa,8,2020-01-01,2020-01-01
52,53,Adore You,Harry Styles,3,2020-01-01,2020-01-01
53,54,One Man Band,Old Dominion,18,2020-01-01,2020-01-01
54,55,Hot Girl Bummer,blackbear,15,2020-01-01,2020-01-01
55,56,Suicidal,YNW Melly & Juice WRLD,5,2020-01-01,2020-01-01
56,57,Lover,Taylor Swift,19,2020-01-01,2020-01-01
57,58,On Chill,Wale ft. Jeremih,20,2020-01-01,2020-01-01
58,59,Even Though I'm Leaving,Luke Combs,17,2020-01-01,2020-01-01
59,60,No Idea,Don Toliver,4,2020-01-01,2020-01-01
60,61,Graveyard,Halsey,15,2020-01-01,2020-01-01
61,62,My Oh My,Camila Cabello ft. DaBaby,3,2020-01-01,2020-01-01
62,63,Juicy,Doja Cat & Tyga,9,2020-01-01,2020-01-01
63,64,The Bones,Maren Morris,14,2020-01-01,2020-01-01
64,65,Playing Games,Summer Walker,17,2020-01-01,2020-01-01
65,66,Heat,Chris Brown ft. Gunna,17,2020-01-01,2020-01-01
66,67,Into The Unknown,Idina Menzel & AURORA,5,2020-01-01,2020-01-01
67,68,VIBEZ,DaBaby,13,2020-01-01,2020-01-01
68,69,Happy Xmas (War Is Over),John Legend,1,2020-01-01,2020-01-01
69,70,Heart On Ice,Rod Wave,7,2020-01-01,2020-01-01
70,71,What If I Never Get Over You,Lady Antebellum,18,2020-01-01,2020-01-01
71,72,Blinding Lights,The Weeknd,4,2020-01-01,2020-01-01
72,73,Ridin' Roads,Dustin Lynch,8,2020-01-01,2020-01-01
73,74,Camelot,NLE Choppa,15,2020-01-01,2020-01-01
74,75,Heartache Medication,Jon Pardi,13,2020-01-01,2020-01-01
75,76,Start Wit Me,Roddy Ricch & Gunna,6,2020-01-01,2020-01-01
76,77,Take What You Want,Post Malone ft. Ozzy Osbourne & Travis Scott,16,2020-01-01,2020-01-01
77,78,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",12,2020-01-01,2020-01-01
78,79,Hate Me,Ellie Goulding & Juice WRLD,20,2020-01-01,2020-01-01
79,80,Kinfolks,Sam Hunt,11,2020-01-01,2020-01-01
80,81,Let Me Know (I Wonder Why Freestyle),Juice WRLD,2,2020-01-01,2020-01-01
81,82,Remember You Young,Thomas Rhett,15,2020-01-01,2020-01-01
82,83,Death,Trippie Redd ft. DaBaby,6,2020-01-01,2020-01-01
83,84,223's,YNW Melly & 9lokknine,16,2020-01-01,2020-01-01
84,85,Slide,H.E.R. ft. YG,1,2020-01-01,2020-01-01
85,86,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,5,2020-01-01,2020-01-01
86,87,Watermelon Sugar,Harry Styles,5,2020-01-01,2020-01-01
87,88,Homesick,Kane Brown,6,2020-01-01,2020-01-01
88,89,Slow Dancing In The Dark,Joji,12,2020-01-01,2020-01-01
89,90,Easy,DaniLeigh ft. Chris Brown,8,2020-01-01,2020-01-01
90,91,Vete,Bad Bunny,5,2020-01-01,2020-01-01
91,92,Baby Sitter,DaBaby ft. Offset,20,2020-01-01,2020-01-01
92,93,Nice To Meet Ya,Niall Horan,11,2020-01-01,2020-01-01
93,94,Yellow Hearts,Ant Saunders,7,2020-01-01,2020-01-01
94,95,Tip Toe,Roddy Ricch ft. A Boogie Wit da Hoodie,4,2020-01-01,2020-01-01
95,96,Candy,Doja Cat,5,2020-01-01,2020-01-01
96,97,BEST ON EARTH,Russ & BIA,3,2020-01-01,2020-01-01
97,98,Tusa,Karol G & Nicki Minaj,4,2020-01-01,2020-01-01
98,99,Enemies,Post Malone ft. DaBaby,16,2020-01-01,2020-01-01
99,100,South Of The Border,Ed Sheeran ft. Camila Cabello & Cardi B,3,2020-01-01,2020-01-01
100,1,Circles,Post Malone,18,2020-01-08,2020-01-08
101,2,Memories,Maroon 5,15,2020-01-08,2020-01-08
102,3,The Box,Roddy Ricch,4,2020-01-08,2020-01-08
103,4,Someone You Loved,Lewis Capaldi,34,2020-01-08,2020-01-08
104,5,Roxanne,Arizona Zervas,9,2020-01-08,2020-01-08
105,6,Good As Hell,Lizzo,19,2020-01-08,2020-01-08
106,7,Dance Monkey,Tones And I,13,2020-01-08,2020-01-08
107,8,HIGHEST IN THE ROOM,Travis Scott,13,2020-01-08,2020-01-08
108,9,"10,000 Hours",Dan + Shay & Justin Bieber,13,2020-01-08,2020-01-08
109,10,Lose You To Love Me,Selena Gomez,11,2020-01-08,2020-01-08
110,11,Senorita,Shawn Mendes & Camila Cabello,28,2020-01-08,2020-01-08
111,12,Ballin',Mustard & Roddy Ricch,24,2020-01-08,2020-01-08
112,13,BOP,DaBaby,14,2020-01-08,2020-01-08
113,14,Bad Guy,Billie Eilish,40,2020-01-08,2020-01-08
