,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,How You Remind Me,Nickelback,18,2002-01-01,2002-01-01
1,2,U Got It Bad,Usher,16,2002-01-01,2002-01-01
2,3,Family Affair,Mary J. Blige,24,2002-01-01,2002-01-01
3,4,Get The Party Started,P!nk,11,2002-01-01,2002-01-01
4,5,Always On Time,Ja Rule ft. Ashanti,8,2002-01-01,2002-01-01
5,6,My Sacrifice,Creed,11,2002-01-01,2002-01-01
6,7,"Whenever, Wherever",Shakira,11,2002-01-01,2002-01-01
7,8,Hero,Enrique Iglesias,15,2002-01-01,2002-01-01
8,9,Differences,Ginuwine,24,2002-01-01,2002-01-01
9,10,A Woman's Worth,Alicia Keys,11,2002-01-01,2002-01-01
10,11,Livin' It Up,Ja Rule ft. Case,19,2002-01-01,2002-01-01
11,12,Gone,'N Sync,16,2002-01-01,2002-01-01
12,13,Wherever You Will Go,The Calling,9,2002-01-01,2002-01-01
13,14,Rock The Boat,Aaliyah,18,2002-01-01,2002-01-01
14,15,In The End,Linkin Park,10,2002-01-01,2002-01-01
15,16,I Do!!,Toya,32,2002-01-01,2002-01-01
16,17,Turn Off The Light,Nelly Furtado,21,2002-01-01,2002-01-01
17,18,We Thuggin',Fat Joe ft. R. Kelly,11,2002-01-01,2002-01-01
18,19,Butterflies,Michael Jackson,8,2002-01-01,2002-01-01
19,20,Hey Baby,No Doubt ft. Bounty Killer,5,2002-01-01,2002-01-01
20,21,Superman (It's Not Easy),Five For Fighting,19,2002-01-01,2002-01-01
21,22,Caramel,City High ft. Eve,13,2002-01-01,2002-01-01
22,23,Only Time,Enya,26,2002-01-01,2002-01-01
23,24,Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,12,2002-01-01,2002-01-01
24,25,#1,Nelly,12,2002-01-01,2002-01-01
25,26,I'm Real,Jennifer Lopez ft. Ja Rule,27,2002-01-01,2002-01-01
26,27,7 Days,Craig David,5,2002-01-01,2002-01-01
27,28,Roll Out (My Business),Ludacris,9,2002-01-01,2002-01-01
28,29,Fallin',Alicia Keys,30,2002-01-01,2002-01-01
29,30,Break Ya Neck,Busta Rhymes,9,2002-01-01,2002-01-01
