,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Lose Yourself,Eminem,14,2003-01-01,2003-01-01
1,2,Work It,"Missy ""Misdemeanor"" Elliott",17,2003-01-01,2003-01-01
2,3,Air Force Ones,"Nelly ft. Kyjuan, Ali & Murphy Lee",9,2003-01-01,2003-01-01
3,4,'03 Bonnie & Clyde,Jay-Z ft. Beyonce Knowles,11,2003-01-01,2003-01-01
4,5,Jenny From The Block,Jennifer Lopez ft. Styles & Jadakiss,13,2003-01-01,2003-01-01
5,6,Beautiful,Christina Aguilera,7,2003-01-01,2003-01-01
6,7,"Bump, Bump, Bump",B2K & P. Diddy,6,2003-01-01,2003-01-01
7,8,Don't Mess With My Man,Nivea ft. Brian & Brandon Casey,22,2003-01-01,2003-01-01
8,9,Love Of My Life (An Ode To Hip Hop),Erykah Badu ft. Common,18,2003-01-01,2003-01-01
9,10,Underneath It All,No Doubt ft. Lady Saw,19,2003-01-01,2003-01-01
10,11,Miss You,Aaliyah,6,2003-01-01,2003-01-01
11,12,I'm With You,Avril Lavigne,5,2003-01-01,2003-01-01
12,13,She Hates Me,Puddle Of Mudd,13,2003-01-01,2003-01-01
13,14,The Game Of Love,Santana ft. Michelle Branch,14,2003-01-01,2003-01-01
14,15,All I Have,Jennifer Lopez ft. LL Cool J,2,2003-01-01,2003-01-01
15,16,Landslide,Dixie Chicks,16,2003-01-01,2003-01-01
16,17,Cry Me A River,Justin Timberlake,3,2003-01-01,2003-01-01
17,18,Gimme The Light,Sean Paul,36,2003-01-01,2003-01-01
18,19,Thugz Mansion,2Pac,5,2003-01-01,2003-01-01
19,20,Family Portrait,P!nk,8,2003-01-01,2003-01-01
20,21,Your Body Is A Wonderland,John Mayer,10,2003-01-01,2003-01-01
21,22,When The Last Time,Clipse,17,2003-01-01,2003-01-01
22,23,dontchange,Musiq,18,2003-01-01,2003-01-01
23,24,Picture,Kid Rock ft. Sheryl Crow Or Allison Moorer,6,2003-01-01,2003-01-01
24,25,Mesmerize,Ja Rule ft. Ashanti,2,2003-01-01,2003-01-01
25,26,I Should Be...,Dru Hill,5,2003-01-01,2003-01-01
26,27,One Last Breath,Creed,31,2003-01-01,2003-01-01
27,28,19 Somethin',Mark Wills,7,2003-01-01,2003-01-01
28,29,Satisfaction,Eve,6,2003-01-01,2003-01-01
29,30,Fabulous,Jaheim ft. Tha Rayne,8,2003-01-01,2003-01-01
30,31,Hey Ma,"Cam'Ron ft. Juelz Santana, Freekey Zekey & Toya",19,2003-01-01,2003-01-01
31,32,Ignition,R. Kelly,9,2003-01-01,2003-01-01
32,33,She'll Leave You With A Smile,George Strait,14,2003-01-01,2003-01-01
33,34,Who's Your Daddy?,Toby Keith,14,2003-01-01,2003-01-01
34,35,Luv U Better,LL Cool J,20,2003-01-01,2003-01-01
35,36,When I'm Gone,3 Doors Down,7,2003-01-01,2003-01-01
36,37,Dilemma,Nelly ft. Kelly Rowland,26,2003-01-01,2003-01-01
37,38,These Days,Rascal Flatts,14,2003-01-01,2003-01-01
38,39,Made You Look,Nas,3,2003-01-01,2003-01-01
39,40,Do That...,Baby ft. P. Diddy,8,2003-01-01,2003-01-01
40,41,Lifestyles Of The Rich And Famous,Good Charlotte,4,2003-01-01,2003-01-01
41,42,Wanksta,50 Cent,6,2003-01-01,2003-01-01
42,43,Paradise,LL Cool J ft. Amerie,4,2003-01-01,2003-01-01
43,44,Disease,matchbox twenty,12,2003-01-01,2003-01-01
44,45,Something,Lasgo,10,2003-01-01,2003-01-01
45,46,Die Another Day,Madonna,12,2003-01-01,2003-01-01
46,47,Like I Love You,Justin Timberlake,18,2003-01-01,2003-01-01
47,48,All My Life,Foo Fighters,10,2003-01-01,2003-01-01
48,49,Fall Into Me,Emerson Drive,8,2003-01-01,2003-01-01
49,50,Make It Clap,Busta Rhymes ft. Spliff Star,9,2003-01-01,2003-01-01
50,51,Talkin' To Me,Amerie,5,2003-01-01,2003-01-01
51,52,Gossip Folks,"Missy ""Misdemeanor"" Elliott ft. Ludacris",2,2003-01-01,2003-01-01
52,53,Always,Saliva,4,2003-01-01,2003-01-01
53,54,The Baby,Blake Shelton,5,2003-01-01,2003-01-01
54,55,I Just Wanna Be Mad,Terri Clark,9,2003-01-01,2003-01-01
55,56,The Red,Chevelle,6,2003-01-01,2003-01-01
56,57,You Know You're Right,Nirvana,12,2003-01-01,2003-01-01
57,58,React,Erick Sermon ft. Redman,12,2003-01-01,2003-01-01
58,59,I Care 4 U,Aaliyah,20,2003-01-01,2003-01-01
59,60,A Lot Of Things Different,Kenny Chesney,6,2003-01-01,2003-01-01
60,61,Stole,Kelly Rowland,15,2003-01-01,2003-01-01
61,62,Red Rag Top,Tim McGraw,13,2003-01-01,2003-01-01
62,63,Sk8er Boi,Avril Lavigne,17,2003-01-01,2003-01-01
63,64,Fine Again,Seether,2,2003-01-01,2003-01-01
64,65,Don't Know Why,Norah Jones,15,2003-01-01,2003-01-01
65,66,Tell Me (What's Goin' On),Smilez & Southstar,1,2003-01-01,2003-01-01
66,67,You Can't Hide Beautiful,Aaron Lines,2,2003-01-01,2003-01-01
