,Top_Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week,Duration,Loudness,Tempo,Tempo_Confidence,Meter,Meter_Confidence,Key,Key_Confidence,Mode,Mode_Confidence,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Artist_Genres
206,62,Fiel,"Los Legendarios, Wisin & Jhay Cortez",9,2021-06-25,2021-08-20,261.66666,-4.407,98.005,0.322,4.0,1.0,6.0,0.838,0.0,0.79,0.407,0.849,0.701,0.0,0.112,0.06,0.505,"['reggaeton', 'reggaeton flow', 'trap latino']"
207,88,Fifteen (Taylor's Version),Taylor Swift,1,2021-04-23,2021-04-23,294.419,-4.61,95.466,0.17,4.0,0.818,7.0,0.478,1.0,0.602,0.116,0.559,0.646,0.0,0.32,0.0272,0.289,['pop']
208,81,Film Out,BTS,1,2021-04-16,2021-04-16,214.62064,-6.404,164.032,0.07,4.0,0.778,10.0,0.4,1.0,0.408,0.296,0.499,0.709,0.0,0.331,0.134,0.314,"['k-pop', 'k-pop boy group']"
209,90,Final Warning,NLE Choppa,1,2021-05-14,2021-05-14,156.89452,-3.129,81.486,0.1,4.0,1.0,11.0,0.435,1.0,0.418,0.0781,0.847,0.912,0.0,0.142,0.257,0.88,"['memphis hip hop', 'viral rap']"
210,39,Finesse Out The Gang Way,Lil Durk ft. Lil Baby,7,2021-02-12,2021-03-26,186.28331,-4.159,100.501,0.557,3.0,1.0,1.0,0.707,0.0,0.683,0.218,0.736,0.887,0.0,0.101,0.124,0.495,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
211,53,Flocky Flocky,Don Toliver ft. Travis Scott,2,2021-10-22,2021-10-29,183.51373,-5.05,135.99,0.75,4.0,1.0,10.0,0.664,0.0,0.693,0.0252,0.8,0.541,0.0,0.146,0.0375,0.194,"['pop', 'rap', 'trap']"
212,81,Fly As Me,Silk Sonic (Bruno Mars & Anderson .Paak),1,2021-11-26,2021-11-26,192.8185,-6.184,144.984,0.204,4.0,0.954,9.0,0.41,0.0,0.376,0.573,0.701,0.51,0.0,0.0926,0.0829,0.387,['neo soul']
213,68,Follow You,Imagine Dragons,15,2021-03-26,2021-07-23,175.64384,-5.956,124.912,0.605,4.0,0.863,9.0,0.347,1.0,0.417,0.00209,0.542,0.732,7.92e-05,0.496,0.0521,0.489,"['modern rock', 'rock']"
214,11,For The Night,Pop Smoke ft. Lil Baby & DaBaby,43,2021-01-01,2021-05-07,190.4762,-6.606,125.971,0.658,4.0,1.0,6.0,0.206,0.0,0.3,0.114,0.823,0.586,0.0,0.193,0.2,0.347,['brooklyn drill']
215,80,For Tonight,Giveon,12,2021-10-08,2021-12-31,193.8215,-7.807,79.867,0.109,4.0,0.811,9.0,0.4,1.0,0.483,0.0699,0.442,0.517,0.0,0.114,0.0548,0.2,"['pop', 'r&b']"
