,Top_Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week,Duration,Loudness,Tempo,Tempo_Confidence,Meter,Meter_Confidence,Key,Key_Confidence,Mode,Mode_Confidence,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Artist_Genres
0,32,(There's No Place Like) Home For The Holidays,Perry Como,3,2019-01-01,2019-12-31,178.29333,-10.629,143.823,0.188,4.0,0.636,5.0,0.42,1.0,0.384,0.869,0.532,0.401,0.0,0.222,0.0525,0.45,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']"
1,97,"1, 2 Many",Luke Combs & Brooks & Dunn,1,2019-09-24,2019-09-24,180.90668,-3.789,148.798,0.625,4.0,1.0,6.0,0.753,1.0,0.604,0.0397,0.54,0.821,0.0,0.423,0.0873,0.685,"['contemporary country', 'country']"
2,86,1.5,21 Savage,1,2019-01-01,2019-01-01,148.6556,-8.353,84.022,0.208,4.0,1.0,1.0,0.478,1.0,0.425,0.000244,0.885,0.52,1.16e-06,0.454,0.359,0.306,"['atl hip hop', 'rap']"
3,4,"10,000 Hours",Dan + Shay & Justin Bieber,12,2019-10-15,2019-12-31,167.69333,-4.644,89.991,0.281,4.0,0.923,10.0,0.194,1.0,0.297,0.153,0.654,0.63,0.0,0.111,0.0259,0.43,"['canadian contemporary r&b', 'pop', 'r&b']"
4,34,223's,YNW Melly & 9lokknine,16,2019-09-17,2019-12-31,176.64009,-7.787,94.998,0.856,4.0,1.0,0.0,0.511,0.0,0.443,0.0388,0.932,0.547,0.0,0.0924,0.333,0.695,"['melodic rap', 'trap', 'viral rap']"
5,63,24/7,Meek Mill ft. Ella Mai,19,2019-05-07,2019-08-20,221.52245,-5.355,86.957,0.318,4.0,1.0,0.0,0.395,1.0,0.524,0.0135,0.657,0.711,0.0,0.221,0.374,0.368,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
6,74,3 Headed Snake,Gunna ft. Young Thug,1,2019-03-05,2019-03-05,241.9951,-10.708,135.03,0.477,4.0,1.0,6.0,0.047,1.0,0.259,0.0536,0.914,0.415,0.0,0.131,0.464,0.646,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']"
7,86,365,Zedd & Katy Perry,1,2019-02-26,2019-02-26,181.89967,-5.479,98.039,0.25,4.0,1.0,2.0,0.618,0.0,0.627,0.339,0.745,0.693,0.0,0.123,0.034,0.248,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house']"
8,60,6 Kiss,Trippie Redd ft. Juice WRLD & YNW Melly,4,2019-12-03,2019-12-24,199.43665,-10.061,142.048,0.13,4.0,0.348,2.0,0.282,1.0,0.616,0.109,0.687,0.449,0.0,0.282,0.154,0.229,"['melodic rap', 'rap', 'trap']"
9,1,7 Rings,Ariana Grande,33,2019-01-29,2019-09-10,178.62666,-10.732,140.048,0.134,4.0,1.0,1.0,0.691,0.0,0.738,0.592,0.778,0.317,0.0,0.0881,0.334,0.327,"['dance pop', 'pop']"
10,79,8,Billie Eilish,1,2019-04-09,2019-04-09,173.20158,-13.239,62.446,0.262,4.0,0.796,3.0,0.822,1.0,0.684,0.698,0.735,0.235,0.00604,0.107,0.315,0.462,"['art pop', 'electropop', 'pop']"
11,74,A Boy Is A Gun,"Tyler, The Creator",1,2019-05-28,2019-05-28,210.25333,-8.302,79.568,0.003,4.0,0.797,2.0,0.288,0.0,0.285,0.575,0.417,0.689,0.0,0.496,0.178,0.505,"['hip hop', 'rap']"
12,4,A Holly Jolly Christmas,Burl Ives,15,2019-01-01,2019-12-31,135.53333,-13.056,140.467,0.47,4.0,0.344,0.0,0.282,1.0,0.37,0.579,0.683,0.375,0.0,0.076,0.0303,0.888,"['adult standards', 'american folk revival']"
13,12,A Lot,21 Savage,23,2019-01-01,2019-06-04,288.62418,-7.643,145.972,0.459,4.0,0.952,1.0,0.21,1.0,0.409,0.0395,0.837,0.636,0.00125,0.342,0.086,0.274,"['atl hip hop', 'rap']"
14,29,A Thousand Bad Times,Post Malone,3,2019-09-17,2019-10-01,221.17332,-3.498,159.0,0.32,4.0,1.0,6.0,0.561,1.0,0.495,0.105,0.632,0.732,1.15e-05,0.111,0.092,0.317,"['dfw rap', 'melodic rap', 'rap']"
15,95,ASMR,21 Savage,1,2019-01-01,2019-01-01,171.71379,-7.738,170.067,0.057,4.0,0.682,1.0,0.739,1.0,0.592,0.0399,0.84,0.543,0.0,0.117,0.476,0.161,"['atl hip hop', 'rap']"
16,26,Act Up,City Girls,21,2019-03-12,2019-07-30,158.33206,-4.713,97.075,0.223,4.0,1.0,8.0,0.286,1.0,0.441,0.0167,0.938,0.638,0.0,0.111,0.189,0.313,"['dance pop', 'pop', 'r&b', 'rap', 'scam rap', 'trap queen']"
17,86,Adicto,"Tainy, Anuel AA & Ozuna",2,2019-10-01,2019-10-08,270.7405,-4.803,80.002,0.15,4.0,0.909,10.0,0.031,0.0,0.295,0.017,0.734,0.836,1.64e-05,0.179,0.0735,0.623,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino']"
18,24,Adore You,Harry Styles,3,2019-12-17,2019-12-31,207.13333,-3.675,99.048,0.385,4.0,1.0,8.0,0.51,1.0,0.547,0.0237,0.676,0.771,7e-06,0.102,0.0483,0.569,['pop']
19,75,Afterglow,Taylor Swift,1,2019-09-03,2019-09-03,223.29333,-8.746,111.011,0.638,4.0,1.0,9.0,0.682,1.0,0.52,0.13,0.756,0.449,0.0,0.114,0.0344,0.399,['pop']
20,70,All Dat,Moneybagg Yo X Megan Thee Stallion,2,2019-10-22,2019-10-29,143.95796,-3.904,120.047,0.089,5.0,1.0,2.0,0.502,1.0,0.467,0.00534,0.792,0.772,0.0,0.237,0.27,0.414,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
21,94,All Day Long,Chance The Rapper ft. John Legend,1,2019-08-06,2019-08-06,208.23828,-3.674,123.01,0.775,4.0,0.925,2.0,0.573,1.0,0.623,0.028,0.767,0.884,0.0,0.103,0.161,0.717,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
22,1,All I Want For Christmas Is You,Mariah Carey,37,2019-01-01,2019-12-31,241.10667,-7.463,150.273,0.153,4.0,0.919,7.0,0.459,1.0,0.471,0.164,0.336,0.627,0.0,0.0708,0.0384,0.35,"['dance pop', 'pop', 'urban contemporary']"
23,67,All My Friends,21 Savage,2,2019-01-01,2019-01-08,211.78522,-4.513,130.09,0.513,4.0,0.68,0.0,0.57,1.0,0.578,0.171,0.713,0.62,1.16e-06,0.118,0.0422,0.206,"['atl hip hop', 'rap']"
24,46,All The Good Girls Go To Hell,Billie Eilish,7,2019-04-09,2019-12-10,168.83977,-8.922,185.044,0.063,4.0,1.0,8.0,0.221,0.0,0.263,0.283,0.726,0.444,0.143,0.177,0.372,0.569,"['art pop', 'electropop', 'pop']"
