,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,All I Want For Christmas Is You,Mariah Carey,43,2021-01-01,2021-01-01
1,2,Rockin' Around The Christmas Tree,Brenda Lee,38,2021-01-01,2021-01-01
2,3,Jingle Bell Rock,Bobby Helms,35,2021-01-01,2021-01-01
3,4,A Holly Jolly Christmas,Burl Ives,19,2021-01-01,2021-01-01
4,5,It's The Most Wonderful Time Of The Year,Andy Williams,20,2021-01-01,2021-01-01
5,6,Feliz Navidad,Jose Feliciano,14,2021-01-01,2021-01-01
6,7,Mood,24kGoldn ft. iann dior,20,2021-01-01,2021-01-01
7,8,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,13,2021-01-01,2021-01-01
8,9,Last Christmas,Wham!,19,2021-01-01,2021-01-01
9,10,Run Rudolph Run,Chuck Berry,8,2021-01-01,2021-01-01
10,11,The Christmas Song (Merry Christmas To You),Nat King Cole,26,2021-01-01,2021-01-01
11,12,Underneath The Tree,Kelly Clarkson,9,2021-01-01,2021-01-01
12,13,Sleigh Ride,The Ronettes,11,2021-01-01,2021-01-01
13,14,Positions,Ariana Grande,9,2021-01-01,2021-01-01
14,15,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,8,2021-01-01,2021-01-01
15,16,Rudolph The Red-Nosed Reindeer,Gene Autry,12,2021-01-01,2021-01-01
16,17,Santa Tell Me,Ariana Grande,8,2021-01-01,2021-01-01
17,18,Happy Holiday / The Holiday Season,Andy Williams,8,2021-01-01,2021-01-01
18,19,Christmas (Baby Please Come Home),Darlene Love,7,2021-01-01,2021-01-01
19,20,White Christmas,Bing Crosby,20,2021-01-01,2021-01-01
20,21,Holy,Justin Bieber ft. Chance The Rapper,14,2021-01-01,2021-01-01
21,22,(There's No Place Like) Home For The Holidays,Perry Como,7,2021-01-01,2021-01-01
22,23,It's Beginning To Look A Lot Like Christmas,Michael Buble,5,2021-01-01,2021-01-01
23,24,Go Crazy,Chris Brown & Young Thug,33,2021-01-01,2021-01-01
24,25,Laugh Now Cry Later,Drake ft. Lil Durk,19,2021-01-01,2021-01-01
25,26,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,10,2021-01-01,2021-01-01
26,27,Levitating,Dua Lipa,12,2021-01-01,2021-01-01
27,28,Wonderful Christmastime,Paul McCartney,4,2021-01-01,2021-01-01
28,29,For The Night,Pop Smoke ft. Lil Baby & DaBaby,25,2021-01-01,2021-01-01
29,30,I Hope,Gabby Barrett ft. Charlie Puth,52,2021-01-01,2021-01-01
30,31,Lemonade,Internet Money & Gunna ft. Don Toliver & NAV,19,2021-01-01,2021-01-01
31,32,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,2,2021-01-01,2021-01-01
32,33,Blue Christmas,Elvis Presley,3,2021-01-01,2021-01-01
33,34,Dakiti,Bad Bunny & Jhay Cortez,8,2021-01-01,2021-01-01
34,35,Body,Megan Thee Stallion,5,2021-01-01,2021-01-01
35,36,Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters,1,2021-01-01,2021-01-01
36,37,Bang!,AJR,25,2021-01-01,2021-01-01
37,38,Willow,Taylor Swift,2,2021-01-01,2021-01-01
38,39,This Christmas,Donny Hathaway,1,2021-01-01,2021-01-01
39,40,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,8,2021-01-01,2021-01-01
40,41,Kings & Queens,Ava Max,20,2021-01-01,2021-01-01
41,42,Therefore I Am,Billie Eilish,7,2021-01-01,2021-01-01
42,43,Deck The Halls,Nat King Cole,2,2021-01-01,2021-01-01
43,44,Dynamite,BTS,18,2021-01-01,2021-01-01
44,45,Please Come Home For Christmas,Eagles,9,2021-01-01,2021-01-01
45,46,Santa Claus Is Comin' To Town,Jackson 5,1,2021-01-01,2021-01-01
46,47,Little Saint Nick,The Beach Boys,1,2021-01-01,2021-01-01
47,48,Take Me Home For Christmas,Dan + Shay,3,2021-01-01,2021-01-01
48,49,Have Yourself A Merry Little Christmas,Michael Buble,1,2021-01-01,2021-01-01
49,50,I'll Be Home For Christmas,Bing Crosby,1,2021-01-01,2021-01-01
