,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Independent Women Part I,Destiny's Child,16,2001-01-01,2001-01-01
1,2,He Loves U Not,Dream,15,2001-01-01,2001-01-01
2,3,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",10,2001-01-01,2001-01-01
3,4,Case Of The Ex (Whatcha Gonna Do),Mya,21,2001-01-01,2001-01-01
4,5,With Arms Wide Open,Creed,35,2001-01-01,2001-01-01
5,6,Ms. Jackson,OutKast,9,2001-01-01,2001-01-01
6,7,The Way You Love Me,Faith Hill,36,2001-01-01,2001-01-01
7,8,Dance With Me,Debelah Morgan,24,2001-01-01,2001-01-01
8,9,If You're Gone,matchbox twenty,12,2001-01-01,2001-01-01
9,10,Liquid Dreams,O-Town,3,2001-01-01,2001-01-01
10,11,This I Promise You,'N Sync,15,2001-01-01,2001-01-01
11,12,I Just Wanna Love U (Give It 2 Me),JAY-Z,11,2001-01-01,2001-01-01
12,13,Again,Lenny Kravitz,8,2001-01-01,2001-01-01
13,14,Love Don't Cost A Thing,Jennifer Lopez,5,2001-01-01,2001-01-01
14,15,Kryptonite,3 Doors Down,40,2001-01-01,2001-01-01
15,16,Most Girls,P!nk,22,2001-01-01,2001-01-01
16,17,Gotta Tell You,Samantha Mumba,18,2001-01-01,2001-01-01
17,18,I Wish,R. Kelly,15,2001-01-01,2001-01-01
18,19,E.I.,Nelly,14,2001-01-01,2001-01-01
19,20,Pinch Me,Barenaked Ladies,18,2001-01-01,2001-01-01
20,21,Crazy For This Girl,Evan And Jaron,10,2001-01-01,2001-01-01
21,22,Stronger,Britney Spears,6,2001-01-01,2001-01-01
22,23,Danger (Been So Long),Mystikal ft. Nivea,4,2001-01-01,2001-01-01
23,24,What's Your Fantasy,Ludacris ft. Shawnna,15,2001-01-01,2001-01-01
24,25,So In Love With Two,Mikaila,7,2001-01-01,2001-01-01
25,26,Don't Tell Me,Madonna,5,2001-01-01,2001-01-01
26,27,Music,Madonna,22,2001-01-01,2001-01-01
27,28,Beautiful Day,U2,14,2001-01-01,2001-01-01
28,29,Shape Of My Heart,Backstreet Boys,13,2001-01-01,2001-01-01
29,30,Between Me And You,Ja Rule ft. Christina Milian,17,2001-01-01,2001-01-01
30,31,My First Love,Avant ft. KeKe Wyatt,10,2001-01-01,2001-01-01
31,32,Crazy,K-Ci & JoJo,5,2001-01-01,2001-01-01
32,33,Bow Wow (That's My Name),Lil Bow Wow,7,2001-01-01,2001-01-01
33,34,Hemorrhage (In My Hands),Fuel,11,2001-01-01,2001-01-01
34,35,Just Friends (Sunny),Musiq,13,2001-01-01,2001-01-01
35,36,Don't Think I'm Not,Kandi,23,2001-01-01,2001-01-01
36,37,South Side,Moby ft. Gwen Stefani,6,2001-01-01,2001-01-01
37,38,Bent,matchbox twenty,37,2001-01-01,2001-01-01
38,39,Mamacita,Public Announcement,3,2001-01-01,2001-01-01
39,40,My Next Thirty Years,Tim McGraw,12,2001-01-01,2001-01-01
40,41,No More (Baby I'ma Do Right),3LW,10,2001-01-01,2001-01-01
41,42,The Christmas Shoes,NewSong,2,2001-01-01,2001-01-01
42,43,My Everything,98 Degrees,5,2001-01-01,2001-01-01
