,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Firework,Katy Perry,9,2011-01-01,2011-01-01
1,2,Grenade,Bruno Mars,12,2011-01-01,2011-01-01
2,3,What's My Name?,Rihanna ft. Drake,9,2011-01-01,2011-01-01
3,4,Raise Your Glass,P!nk,11,2011-01-01,2011-01-01
4,5,We R Who We R,Ke$ha,8,2011-01-01,2011-01-01
5,6,Just The Way You Are,Bruno Mars,22,2011-01-01,2011-01-01
6,7,Only Girl (In The World),Rihanna,15,2011-01-01,2011-01-01
7,8,The Time (Dirty Bit),The Black Eyed Peas,6,2011-01-01,2011-01-01
8,9,6 Foot 7 Foot,Lil Wayne ft. Cory Gunz,1,2011-01-01,2011-01-01
9,10,Just A Dream,Nelly,18,2011-01-01,2011-01-01
10,11,Bottoms Up,Trey Songz ft. Nicki Minaj,19,2011-01-01,2011-01-01
11,12,Black And Yellow,Wiz Khalifa,11,2011-01-01,2011-01-01
12,13,Tonight (I'm Lovin' You),Enrique Iglesias ft. Ludacris & DJ Frank E,4,2011-01-01,2011-01-01
13,14,Like A G6,Far*East Movement ft. Cataracs & Dev,19,2011-01-01,2011-01-01
14,15,DJ Got Us Fallin' In Love,Usher ft. Pitbull,23,2011-01-01,2011-01-01
15,16,Stereo Love,Edward Maya & Vika Jigulina,11,2011-01-01,2011-01-01
16,17,Dynamite,Taio Cruz,29,2011-01-01,2011-01-01
17,18,No Hands,Waka Flocka Flame ft. Roscoe Dash & Wale,15,2011-01-01,2011-01-01
18,19,Coming Home,Diddy - Dirty Money ft. Skylar Grey,4,2011-01-01,2011-01-01
19,20,Yeah 3X,Chris Brown,8,2011-01-01,2011-01-01
20,21,Please Don't Go,Mike Posner,13,2011-01-01,2011-01-01
21,22,Teenage Dream,Katy Perry,22,2011-01-01,2011-01-01
22,23,Animal,Neon Trees,29,2011-01-01,2011-01-01
23,24,F**k You! (Forget You),CeeLo Green,17,2011-01-01,2011-01-01
24,25,Secrets,OneRepublic,26,2011-01-01,2011-01-01
25,26,Back To December,Taylor Swift,8,2011-01-01,2011-01-01
26,27,Hey Baby (Drop It To The Floor),Pitbull ft. T-Pain,12,2011-01-01,2011-01-01
27,28,Right Above It,Lil Wayne ft. Drake,18,2011-01-01,2011-01-01
28,29,Right Thru Me,Nicki Minaj,12,2011-01-01,2011-01-01
29,30,Aston Martin Music,Rick Ross ft. Drake & Chrisette Michele,12,2011-01-01,2011-01-01
30,31,That's All She Wrote,T.I. ft. Eminem,2,2011-01-01,2011-01-01
31,32,Club Can't Handle Me,Flo Rida ft. David Guetta,25,2011-01-01,2011-01-01
32,33,I Like It,Enrique Iglesias ft. Pitbull,32,2011-01-01,2011-01-01
33,34,If I Die Young,The Band Perry,24,2011-01-01,2011-01-01
34,35,Whip My Hair,WILLOW,9,2011-01-01,2011-01-01
35,36,Somewhere With You,Kenny Chesney,7,2011-01-01,2011-01-01
36,37,No Love,Eminem ft. Lil Wayne,16,2011-01-01,2011-01-01
37,38,Deuces,Chris Brown ft. Tyga & Kevin McCall,25,2011-01-01,2011-01-01
38,39,Hold My Hand,Michael Jackson Duet With Akon,5,2011-01-01,2011-01-01
39,40,Felt Good On My Lips,Tim McGraw,7,2011-01-01,2011-01-01
40,41,Rocketeer,Far*East Movement ft. Ryan Tedder,3,2011-01-01,2011-01-01
41,42,Pretty Girl Rock,Keri Hilson,4,2011-01-01,2011-01-01
42,43,My Kinda Party,Jason Aldean,17,2011-01-01,2011-01-01
