,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Let Me Love You,Mario,11,2005-01-01,2005-01-01
1,2,Drop It Like It's Hot,Snoop Dogg ft. Pharrell,14,2005-01-01,2005-01-01
2,3,"1, 2 Step",Ciara ft. Missy Elliott,10,2005-01-01,2005-01-01
3,4,Soldier,Destiny's Child ft. T.I. & Lil Wayne,6,2005-01-01,2005-01-01
4,5,Lovers And Friends,Lil Jon & The East Side Boyz ft. Usher & Ludacris,6,2005-01-01,2005-01-01
5,6,My Boo,Usher And Alicia Keys,17,2005-01-01,2005-01-01
6,7,Over And Over,Nelly ft. Tim McGraw,12,2005-01-01,2005-01-01
7,8,Wonderful,Ja Rule ft. R. Kelly & Ashanti,12,2005-01-01,2005-01-01
8,9,Lose My Breath,Destiny's Child,15,2005-01-01,2005-01-01
9,10,I Don't Want To Be,Gavin DeGraw,11,2005-01-01,2005-01-01
10,11,Disco Inferno,50 Cent,4,2005-01-01,2005-01-01
11,12,Breakaway,Kelly Clarkson,19,2005-01-01,2005-01-01
12,13,Get Back,Ludacris,7,2005-01-01,2005-01-01
13,14,Only U,Ashanti,7,2005-01-01,2005-01-01
14,15,Let's Go,Trick Daddy ft. Lil Jon & Twista,16,2005-01-01,2005-01-01
15,16,How We Do,The Game ft. 50 Cent,6,2005-01-01,2005-01-01
16,17,She Will Be Loved,Maroon 5,24,2005-01-01,2005-01-01
17,18,Boulevard Of Broken Dreams,Green Day,6,2005-01-01,2005-01-01
18,19,Karma,Lloyd Banks ft. Avant,7,2005-01-01,2005-01-01
19,20,Goodies,Ciara ft. Petey Pablo,28,2005-01-01,2005-01-01
20,21,Dare You To Move,Switchfoot,14,2005-01-01,2005-01-01
21,22,What U Gon' Do,Lil Jon & The East Side Boyz ft. Lil Scrappy,9,2005-01-01,2005-01-01
22,23,U Make Me Wanna,Jadakiss ft. Mariah Carey,7,2005-01-01,2005-01-01
23,24,Numb/Encore,Jay-Z/Linkin Park,6,2005-01-01,2005-01-01
24,25,Encore,"Eminem, Dr. Dre & 50 Cent",7,2005-01-01,2005-01-01
25,26,Bring Em Out,T.I.,6,2005-01-01,2005-01-01
26,27,New York,Ja Rule ft. Fat Joe & Jadakiss,7,2005-01-01,2005-01-01
27,28,Oye Mi Canto,"N.O.R.E. ft. Daddy Yankee, Nina Sky, Gem Star & Big Mato",19,2005-01-01,2005-01-01
28,29,True,Ryan Cabrera,4,2005-01-01,2005-01-01
29,30,Daughters,John Mayer,9,2005-01-01,2005-01-01
30,31,Some Beach,Blake Shelton,10,2005-01-01,2005-01-01
31,32,Charlene,Anthony Hamilton,18,2005-01-01,2005-01-01
32,33,Breathe,Fabolous,16,2005-01-01,2005-01-01
33,34,Go D.J.,Lil Wayne,14,2005-01-01,2005-01-01
34,35,Back When,Tim McGraw,11,2005-01-01,2005-01-01
35,36,Broken,Seether ft. Amy Lee,18,2005-01-01,2005-01-01
36,37,Vertigo,U2,13,2005-01-01,2005-01-01
37,38,Since U Been Gone,Kelly Clarkson,3,2005-01-01,2005-01-01
38,39,One Thing,Finger Eleven,24,2005-01-01,2005-01-01
39,40,Beautiful Soul,Jesse McCartney,4,2005-01-01,2005-01-01
40,41,On The Way Down,Ryan Cabrera,23,2005-01-01,2005-01-01
41,42,"Awful, Beautiful Life",Darryl Worley,8,2005-01-01,2005-01-01
42,43,Baby It's You,JoJo ft. Bow Wow,13,2005-01-01,2005-01-01
43,44,Karma,Alicia Keys,6,2005-01-01,2005-01-01
44,45,Shorty Wanna Ride,Young Buck,12,2005-01-01,2005-01-01
45,46,Welcome To My Life,Simple Plan,8,2005-01-01,2005-01-01
46,47,Lean Back,Terror Squad,28,2005-01-01,2005-01-01
47,48,Nobody's Home,Avril Lavigne,4,2005-01-01,2005-01-01
48,49,My Happy Ending,Avril Lavigne,23,2005-01-01,2005-01-01
49,50,Gasolina,Daddy Yankee,8,2005-01-01,2005-01-01
50,51,Just Lose It,Eminem,13,2005-01-01,2005-01-01
51,52,When I Think About Cheatin',Gretchen Wilson,4,2005-01-01,2005-01-01
52,53,Bless The Broken Road,Rascal Flatts,3,2005-01-01,2005-01-01
53,54,How Am I Doin',Dierks Bentley,11,2005-01-01,2005-01-01
54,55,Mud On The Tires,Brad Paisley,5,2005-01-01,2005-01-01
55,56,You're My Better Half,Keith Urban,5,2005-01-01,2005-01-01
56,57,Nothing On But The Radio,Gary Allan,16,2005-01-01,2005-01-01
57,58,The Woman With You,Kenny Chesney,12,2005-01-01,2005-01-01
58,59,Balla Baby,Chingy,13,2005-01-01,2005-01-01
