,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Don't Forget About Us,Mariah Carey,12,2006-01-01,2006-01-01
1,2,Run It!,Chris Brown,20,2006-01-01,2006-01-01
2,3,Grillz,"Nelly ft. Paul Wall, Ali & Gipp",8,2006-01-01,2006-01-01
3,4,Laffy Taffy,D4L,15,2006-01-01,2006-01-01
4,5,Photograph,Nickelback,18,2006-01-01,2006-01-01
5,6,Stickwitu,The Pussycat Dolls,12,2006-01-01,2006-01-01
6,7,Check On It,Beyonce ft. Slim Thug,8,2006-01-01,2006-01-01
7,8,Gold Digger,Kanye West ft. Jamie Foxx,24,2006-01-01,2006-01-01
8,9,There It Go! (The Whistle Song),Juelz Santana,13,2006-01-01,2006-01-01
9,10,My Humps,The Black Eyed Peas,21,2006-01-01,2006-01-01
10,11,Because Of You,Kelly Clarkson,19,2006-01-01,2006-01-01
11,12,Be Without You,Mary J. Blige,7,2006-01-01,2006-01-01
12,13,One Wish,Ray J,14,2006-01-01,2006-01-01
13,14,Soul Survivor,Young Jeezy ft. Akon,19,2006-01-01,2006-01-01
14,15,"Dance, Dance",Fall Out Boy,10,2006-01-01,2006-01-01
15,16,I Think They Like Me,"Dem Franchize Boyz ft. Jermaine Dupri, Da Brat & Bow Wow",16,2006-01-01,2006-01-01
16,17,"Sugar, We're Goin' Down",Fall Out Boy,28,2006-01-01,2006-01-01
17,18,Stay Fly,Three 6 Mafia ft. Young Buck & Eightball & MJG,16,2006-01-01,2006-01-01
18,19,When I'm Gone,Eminem,7,2006-01-01,2006-01-01
19,20,I'm Sprung,T-Pain,20,2006-01-01,2006-01-01
20,21,Dirty Little Secret,The All-American Rejects,22,2006-01-01,2006-01-01
21,22,We Be Burnin',Sean Paul,17,2006-01-01,2006-01-01
22,23,Hung Up,Madonna,10,2006-01-01,2006-01-01
23,24,You're Beautiful,James Blunt,9,2006-01-01,2006-01-01
24,25,So Sick,Ne-Yo,5,2006-01-01,2006-01-01
25,26,Unpredictable,Jamie Foxx ft. Ludacris,6,2006-01-01,2006-01-01
26,27,Here We Go,Trina ft. Kelly Rowland,14,2006-01-01,2006-01-01
27,28,Luxurious,Gwen Stefani,10,2006-01-01,2006-01-01
28,29,Beverly Hills,Weezer,39,2006-01-01,2006-01-01
29,30,You And Me,Lifehouse,47,2006-01-01,2006-01-01
30,31,Wake Me Up When September Ends,Green Day,23,2006-01-01,2006-01-01
31,32,Feel Good Inc,Gorillaz,33,2006-01-01,2006-01-01
32,33,"Jesus, Take The Wheel",Carrie Underwood,8,2006-01-01,2006-01-01
33,34,Honky Tonk Badonkadonk,Trace Adkins,10,2006-01-01,2006-01-01
34,35,Heard 'Em Say,Kanye West ft. Adam Levine,11,2006-01-01,2006-01-01
35,36,If It's Lovin' That You Want,Rihanna,12,2006-01-01,2006-01-01
36,37,Don't Cha,The Pussycat Dolls ft. Busta Rhymes,36,2006-01-01,2006-01-01
37,38,Fireman,Lil Wayne,8,2006-01-01,2006-01-01
38,39,Kryptonite (I'm On It),Purple Ribbon All-Stars,7,2006-01-01,2006-01-01
39,40,Unwritten,Natasha Bedingfield,5,2006-01-01,2006-01-01
40,41,Turn It Up,Chamillionaire ft. Lil' Flip,10,2006-01-01,2006-01-01
41,42,Shake It Off,Mariah Carey,24,2006-01-01,2006-01-01
42,43,Georgia,Ludacris & Field Mob ft. Jamie Foxx,2,2006-01-01,2006-01-01
43,44,We Belong Together,Mariah Carey,39,2006-01-01,2006-01-01
44,45,Must Be Doin' Somethin' Right,Billy Currington,12,2006-01-01,2006-01-01
